submission_id,sim_AC_ANS,sim_AC_REF,sim_ANS_REF
459191,0.2358,0.9518,0.2383
458220,0.1679,0.2022,0.3823
465049,0.1654,0.3805,0.4299
467323,0.0828,0.4185,0.5736
452729,0.2696,0.2051,0.4232
458239,0.1483,0.3430,0.2890
473729,0.1797,0.2532,0.1852
480807,0.9487,0.9487,1.0000
476972,0.1203,0.1564,0.2934
465134,0.2426,0.4611,0.2443
483172,0.2585,0.9314,0.2408
487593,0.3251,0.3251,1.0000
475227,0.1765,0.2449,0.2412
487585,0.2975,0.1724,0.2020
501509,0.1031,0.2820,0.2611
513750,0.1299,0.1201,0.2255
487592,0.1650,0.3151,0.3509
482635,0.0758,0.7449,0.1162
501451,0.1753,0.8159,0.3395
512226,0.3988,1.0000,0.3988
519221,0.3228,0.5762,0.3110
519013,0.0481,0.0340,0.3768
519562,0.2365,0.3324,0.5032
519078,0.2459,0.3503,0.5994
532027,0.1243,0.6404,0.2822
514587,0.1827,0.2288,0.4525
538764,0.4468,0.4339,0.4128
532029,0.2518,0.4201,0.8001
528003,0.1896,0.2622,0.3208
528349,0.0708,0.9252,0.0433
501265,0.1257,0.5457,0.1523
540491,0.4886,0.8881,0.5681
549197,0.6683,0.9585,0.6276
553069,0.2656,0.3538,0.1337
532031,0.2134,0.8369,0.1972
555667,0.1170,0.1391,0.7993
555732,0.1336,0.7098,0.1974
556536,0.2963,0.8345,0.3401
550892,0.1493,0.7895,0.1821
562247,0.3244,0.3244,1.0000
562217,0.1539,0.5927,0.2020
568991,0.1806,1.0000,0.1806
569159,0.3799,0.5390,0.7048
562376,0.4797,0.7432,0.6990
568779,0.1253,0.8003,0.1003
582007,0.1196,0.1169,0.7880
552585,0.0791,0.8463,0.0717
575939,0.5734,0.5565,0.7402
569127,0.1412,0.1550,0.8540
588293,0.1998,0.2240,0.5201
582019,0.4417,0.3581,0.4332
582781,0.2419,0.1864,0.4468
588321,0.1014,0.2964,0.1966
595523,0.2684,0.7846,0.2461
575981,0.0299,0.8587,0.0462
588331,0.2025,0.3996,0.6209
595333,0.1365,0.3593,0.2136
618692,0.3194,0.2334,0.4439
612934,0.1461,0.4226,0.2552
618697,0.2726,0.7337,0.4686
596699,0.2450,0.3657,0.2447
631956,0.1551,0.1564,0.1825
625347,0.3680,0.3944,0.8316
626365,0.2754,0.2473,0.5417
631957,0.0539,0.7632,0.0707
638429,0.2205,0.7455,0.1644
645581,0.3026,0.5132,0.5360
640288,0.0955,0.0657,0.4561
646212,0.3692,0.3776,0.9777
646826,0.6616,0.7647,0.6616
650289,0.1947,0.9860,0.1920
646828,0.1934,0.4168,0.4262
583990,0.0402,0.5624,0.0377
650290,0.5480,0.6068,0.8065
652913,0.4788,1.0000,0.4788
652920,0.1645,0.4292,0.3471
646832,0.3184,0.5966,0.3731
665301,0.6233,0.7247,0.7987
660046,0.4192,0.9579,0.4427
678548,0.4375,0.4480,0.6792
665449,0.1756,0.8914,0.2858
678536,0.1553,0.1851,0.3297
671555,0.0680,0.0787,0.5857
679480,0.5155,0.8497,0.5607
691493,0.2812,0.4437,0.3659
676252,0.2900,0.8008,0.4944
691615,0.5661,0.7193,0.7647
687047,0.2856,0.3219,0.2095
698265,0.1670,1.0000,0.1670
695356,0.1938,0.2330,0.2480
650297,0.3655,0.9937,0.3544
698360,0.3761,0.5591,0.7082
704214,0.4924,0.4924,0.6332
698431,0.2253,0.7853,0.2062
717534,0.2560,0.2560,1.0000
706242,0.3136,0.4119,0.2019
693165,0.5125,0.2939,0.2921
724887,0.1400,0.1292,0.8585
725904,0.2435,0.3237,0.6820
730311,0.3925,0.6986,0.4190
743934,0.2001,0.3351,0.4249
701580,0.1228,0.4246,0.2159
731399,0.9127,0.9782,0.9394
729924,0.1399,0.8037,0.1467
744434,0.2425,0.4740,0.2578
737009,0.1784,0.1887,0.2523
749429,0.1700,0.7040,0.1512
749740,0.0843,0.0850,0.3763
755774,0.1939,0.2122,0.5565
745132,0.2123,0.4903,0.1225
756133,0.4198,0.5558,0.6742
762725,0.8912,0.8912,1.0000
762730,0.0846,0.1362,0.5642
739534,0.2595,0.4447,0.5711
775516,0.0644,0.1536,0.4530
775838,0.4330,0.8988,0.4783
770711,0.1557,1.0000,0.1557
788785,0.2329,0.5952,0.2472
781297,0.2116,0.4301,0.4043
795639,0.3611,0.9726,0.4210
788786,0.3722,0.5358,0.3548
808644,0.3755,0.4238,0.3932
783234,0.3064,0.3339,0.6238
801782,0.1991,0.7843,0.1926
808653,0.1103,0.2553,0.0968
818377,0.1698,0.1643,0.4949
818277,0.1824,0.7926,0.2328
824587,0.3304,0.3475,0.6107
803322,0.2148,0.3283,0.3946
825057,0.3159,0.2739,0.5071
831262,0.1993,0.9550,0.2000
832280,0.1443,0.4169,0.1615
801785,0.1329,0.6862,0.1348
837430,0.4726,0.7426,0.4378
762871,0.4077,0.5795,0.4077
838122,0.3164,0.3931,0.6988
850539,0.6577,0.6753,0.9903
839524,0.2641,0.8903,0.2535
844174,0.1486,0.8904,0.1669
857399,0.2782,0.9544,0.2915
852420,0.1140,0.7600,0.1503
851264,0.0899,0.1623,0.6420
851419,0.3044,0.9531,0.2887
848001,0.0473,0.6155,0.1660
858242,0.2404,0.3674,0.5606
858885,0.2367,0.3319,0.2935
865913,0.2553,0.3500,0.2543
844069,0.2272,0.1846,0.2234
870249,0.1393,0.6396,0.2182
866039,0.2674,0.3368,0.7736
876451,0.6187,1.0000,0.6187
876209,0.4225,0.9664,0.4372
873083,0.2333,0.8447,0.2475
866044,0.0656,0.4707,0.2967
882450,0.1947,0.8406,0.2326
868300,0.2088,0.8317,0.2903
876647,0.2040,0.4027,0.1664
877777,0.2205,0.3049,0.5512
870789,0.2513,0.8797,0.2587
888587,0.3174,0.6033,0.5664
882630,0.2693,0.3437,0.7255
888720,0.2763,0.5106,0.5688
894539,0.1566,0.7391,0.4141
859085,0.0699,0.2007,0.1027
895455,0.4299,0.7807,0.6279
892994,0.2923,0.2661,0.5690
900752,0.4460,0.8852,0.4121
912912,0.2491,0.2710,0.3015
900847,0.1650,0.5641,0.2538
894629,0.5599,0.1724,0.1480
925723,0.1342,1.0000,0.1342
915094,0.1977,0.2462,0.3089
926333,0.2642,0.2102,0.6930
925647,0.3889,0.3601,0.3902
944575,0.2118,1.0000,0.2118
938931,0.2057,0.4848,0.2119
932017,0.1496,0.8977,0.1628
938453,0.2941,1.0000,0.2941
945425,0.1531,0.9548,0.1624
957485,0.2788,0.2281,0.6308
929401,0.2696,0.4675,0.2484
946645,0.1813,0.3608,0.2956
963867,1.0000,1.0000,1.0000
938473,0.3018,0.3086,0.2313
966150,0.1761,0.1504,0.2510
959636,0.1926,0.5658,0.2772
970758,0.2397,0.1829,0.2087
963899,0.1846,0.3111,0.7110
970967,0.3177,0.5888,0.3932
976560,0.2826,0.3593,0.7864
975411,0.1657,0.3458,0.1453
974603,0.0730,0.8305,0.0582
977089,0.1188,0.1521,0.4333
976559,0.0590,0.0730,0.3472
967858,0.1481,0.4237,0.1532
970524,0.1755,0.2536,0.1799
984610,0.1170,0.9347,0.1018
983552,0.1943,0.2497,0.5248
983773,0.2574,0.3986,0.3378
989542,0.0988,0.0649,0.0467
989526,0.4110,0.3997,0.7545
996550,0.0739,0.3820,0.1505
946232,0.8580,1.0000,0.8580
1002596,0.0849,0.2122,0.1407
996736,0.0762,0.2092,0.3159
991701,0.2278,0.3214,0.4396
1002518,0.2866,0.2450,0.3694
991896,0.1071,0.2041,0.1229
997693,0.0520,0.0838,0.1474
1015382,0.2085,0.3665,0.6660
1009170,0.3744,0.3066,0.5168
1006980,0.4231,0.8844,0.5215
1009853,0.5788,0.2853,0.4037
1015522,0.1054,0.1393,0.4323
1024300,0.1404,0.5360,0.3403
1030642,0.5588,0.4233,0.5077
1023369,0.2285,0.2964,0.6000
1024708,0.1234,0.1234,0.4346
1009497,0.3071,0.7782,0.3718
1030736,0.0734,0.5401,0.2403
1022843,0.1809,0.9281,0.2294
1039546,0.0850,0.5797,0.1425
1040248,0.0747,0.1973,0.6993
1039992,0.0698,0.3062,0.4606
1032981,0.0921,0.2899,0.2069
1046509,0.0689,0.1951,0.2802
1048259,0.3484,0.8711,0.3929
1049018,0.2530,0.4491,0.2586
1053140,0.4904,0.1946,0.1662
1050022,0.5597,0.6760,0.6519
1065723,0.7898,0.7898,1.0000
1033555,0.2447,0.1832,0.5353
1065696,0.1430,0.6233,0.1650
1057392,0.1469,0.2030,0.2466
1070249,0.1475,0.1475,0.1979
1060246,0.2729,0.3640,0.6340
1068529,0.3788,0.7371,0.5059
1062471,0.2024,0.1726,0.1739
1066107,0.3232,0.7428,0.2367
1070765,0.2193,0.3512,0.4583
1074537,0.1672,0.2588,0.3450
1085699,0.1966,0.4036,0.4851
1093726,0.3374,0.1491,0.4283
1074785,0.5202,0.7713,0.3778
1074540,0.0816,0.1103,0.4244
1094173,0.1477,0.6675,0.3672
1099769,0.3670,1.0000,0.3670
1094170,0.3999,0.9364,0.3886
1106688,0.1236,0.5110,0.3639
1113631,0.3824,0.7421,0.4561
1099871,0.4306,0.8919,0.4605
1120610,0.2087,0.2002,0.4559
1120833,0.2023,0.2611,0.6613
1104701,0.2307,0.3091,0.4181
1134999,0.1839,0.6328,0.2373
1130226,0.0660,0.0504,0.3867
1129694,0.1957,0.4618,0.3193
1125815,0.1474,0.1660,0.4140
1136652,0.1369,0.2979,0.4596
1138353,0.1013,0.0852,0.4338
1155354,0.2718,0.6331,0.4879
1148423,0.2138,0.7356,0.3116
1148425,0.2014,0.4658,0.2284
1159488,0.1154,0.7204,0.3843
1106738,0.3017,0.7528,0.4048
1141846,0.1460,0.1151,0.1959
1162262,0.2325,0.9477,0.2203
