quarter,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time_sec,bugs,cyclomatic,sloc,lloc,comment_rate,mi_std,mi_custom
2020Q1,10.805429864253394,239.12475759534584,894.4563671622495,2426.3516483516482,249.9301874595992,3320.8080155138978,2112.475681450911,32184.77882040771,36.89236712770931,4490960.789840796,249497.82165782084,10.728259606802547,52.366515837104075,349.00840336134456,241.46218487394958,0.166621540244503,41.93835997489855,26.200851508527116
2020Q2,10.414549653579677,253.78983833718246,1267.7655889145497,3409.555427251732,264.20438799076214,4677.321016166282,2255.9240935490766,46469.75613407363,43.515350921560426,8898510.024203792,494361.66801132273,15.489918711357866,68.4769053117783,474.3602771362587,322.30369515011546,0.18110960377739546,40.45994796249631,24.614950199067753
2020Q3,10.442418426103647,202.7936660268714,733.5681381957774,2105.636276391555,213.23608445297504,2839.204414587332,1726.4388622830597,26313.613602899386,38.95611329003813,4163455.710846152,231303.09504700807,8.771204534299784,45.59596928982725,300.05758157389636,208.79846449136275,0.15978166330756483,43.213445782502255,27.21362956774344
2020Q4,10.686200378071833,272.0642722117202,1932.929111531191,6109.852551984877,282.7504725897921,8042.781663516068,2555.592118035456,82850.61582086579,66.16969470883254,222662943.3810839,12370163.521171326,27.616871940288583,90.2703213610586,725.2013232514178,393.2533081285444,0.17146501443367368,41.22970873409027,25.071563964117637
2021Q1,10.474196689386563,231.1363193768257,1083.020447906524,3018.9425511197664,241.61051606621226,4101.96299902629,1985.649305534668,37281.65493351675,50.2684037973807,15681231.620907525,871179.534494864,12.427218311172256,54.63972736124635,398.7585199610516,316.7088607594937,0.17514256156125785,39.85452764504484,24.49389671746391
2021Q2,10.599295774647887,387.35,3226.1478873239435,8792.09718309859,397.9492957746479,12018.245070422536,4075.9504706719267,138462.4888063306,54.73501483186001,44779796.40955043,2487766.4671972455,46.154162935443495,150.26478873239438,1226.4323943661973,666.9732394366197,0.15676083636410498,38.471933315417445,24.88629598002785
2021Q3,10.5,253.94324712643677,1099.2227011494253,3070.0057471264367,264.4432471264368,4169.228448275862,2268.9262969129195,41126.340938543806,41.702272398100895,6731273.438798666,373959.63548881566,13.708780312847926,55.985632183908045,397.35129310344826,247.70617816091954,0.20481363033302127,42.55608008158295,25.491849495890243
2021Q4,9.58711808422791,205.80346820809248,1091.963666391412,3076.7018992568123,215.3905862923204,4168.665565648224,1835.5869784478482,41398.05546266153,47.35846045172874,14576204.631475843,809789.1461931012,13.799351820887196,56.544178364987616,420.1296449215524,257.38976052848886,0.16167786623666702,43.92451903525996,29.57226873355481
2022Q1,9.946589106292967,203.8783712321523,732.8704389212057,1902.7757800105765,213.82496033844527,2635.646218931782,1782.875180728024,25041.129019280575,32.76844546899332,3382461.4424784905,187914.52458213826,8.347043006426848,35.546800634584876,261.0227392913802,167.19037546271815,0.1961487761062893,46.31837891391987,29.797515167982997
2022Q2,9.49496644295302,179.87164429530202,801.0889261744967,2062.6933724832215,189.36661073825502,2863.782298657718,1525.6092840706624,27728.120506167466,34.50889237524537,4774286.880506791,265238.16002815566,9.242706835389168,39.19714765100671,293.6552013422819,189.45469798657717,0.1651156633987917,45.20445746142356,29.366110838089206
2022Q3,10.16795665634675,272.7604489164087,1999.3006965944273,4647.045665634675,282.9284055727554,6646.346362229102,2581.4084091500054,73281.71988822045,39.609597015975666,25347794.815578185,1408210.8230876785,24.42723996274013,83.75154798761609,640.9899380804953,415.4264705882353,0.20097532968087153,44.5039229703782,27.680680693454132
2022Q4,9.939912280701755,285.3855263157895,1039.9912280701753,2882.676754385965,295.3254385964912,3922.66798245614,3131.444970182182,40957.57545293415,39.43293790948959,6534641.418471814,363035.6343595448,13.652525150978063,48.401315789473685,367.21008771929826,234.17236842105262,0.16530541912170255,42.45031673418641,27.258751131018787
