model,type,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time_sec,bugs,cyclomatic,sloc,lloc,comment_rate,mi_std,mi_custom
human_py,var,0.83,4,3.72,7.41,4.58,11.13,25.66,66.45,0.85,624.38,34.69,0.02,1.45,9.26,4.76,11.64,5.64,5.64
claude_standard_cpp,mean,8.542242944,65.89644153,96.67830645,312.9587298,74.43868448,409.6370363,430.8432884,2611.6587,19.75977787,67162.32949,3731.240489,0.870552619,11.82578125,49.27583165,40.61196069,0.090411139,53.69971179,39.47184798
claude_standard_cpp,var,0.907606608,11.60041299,23.72112161,75.43713097,11.94137044,96.3567267,89.76370552,698.9481716,4.313910565,34582.01192,1921.222888,0.232983267,3.54966081,10.43544347,9.128454735,0.046020598,5.628404829,2.708145395
deepseek_chat_cpp,mean,7.651875,48.07625,71.44875,249.6071875,55.728125,321.0559375,294.5917484,1908.675483,19.52318438,51055.60376,2836.422395,0.636225156,10.36765625,42.53921875,37.7246875,0.0044875,42.86947969,42.01709219
deepseek_chat_cpp,var,0.617285127,3.519022618,10.80169997,36.49264741,3.805651348,46.29045244,26.88168225,305.0307304,2.988890834,18789.06952,1043.837086,0.10167812,2.096917468,5.733967893,5.551838786,0.005189226,2.060393236,1.593260422
deepseek_reasoner_cpp,mean,8.42234375,57.94046875,84.003125,337.6710938,66.3628125,421.6742188,377.0401203,2720.116117,22.65873594,98184.66317,5454.70347,0.906704703,12.13421875,48.28328125,41.803125,0.020235938,42.07756563,40.41393125
deepseek_reasoner_cpp,var,0.876446059,18.48565781,31.57569111,184.282243,18.87998981,213.3953534,158.3324248,1753.387257,5.242220104,102703.8768,5705.770888,0.584463277,3.516195841,12.438217,9.983685845,0.051643232,3.888622331,2.907268051
gemma_cpp,mean,7.110804528,47.51223438,112.1905343,293.8457265,54.62303891,406.0362608,287.2125097,2379.32797,21.9574833,67879.87947,3771.104287,0.793109954,18.63516306,51.22788779,47.03748213,0.002591014,38.87905575,38.23317227
gemma_cpp,var,0.654063718,3.511770623,24.80334002,53.40842837,3.813260964,76.19155914,26.26315667,474.0524637,4.140593754,26880.38282,1493.354576,0.158017196,5.13548457,8.571208111,8.600375787,0.002901072,2.88985933,2.511179803
gpt_cpp,mean,7.587667002,48.3437719,63.12255608,203.3528683,55.9314389,266.4754244,295.9372457,1571.215316,15.87532734,30078.51642,1671.028739,0.523737681,8.013967409,33.61159935,28.84540429,0.023744516,48.8904882,44.50748846
