year,single_letter,lowercase,UPPERCASE,camelCase,snake_case,PascalCase,UPPER_SNAKE_CASE,endsWithDigits,Other,avg_name_length
2020,106367,587969,9950,18798,689086,8632,19407,66345,75769,8.23713742390144
2021,118953,628121,7352,12251,791760,7351,16450,67730,75780,8.266792718287954
2022,140076,779969,10197,15724,1109265,7166,27116,67678,87945,8.811769086594309
2023,136879,646676,8792,11183,875277,6308,18687,62568,82708,8.600526857168816
2024,155558,1036160,10904,8251,1666391,7934,39558,75417,130533,9.789208887707757
2025,36419,432808,2592,2439,334273,2033,7687,13167,22000,9.137204746091598
