submission_id,sim_AC_ANS,sim_AC_REF,sim_ANS_REF
2101971,0.5837,0.4757,0.4607
2101636,0.1421,1.0000,0.1421
2105620,0.5202,1.0000,0.5202
2141443,0.3151,0.6042,0.5525
2101539,0.5694,0.9348,0.5569
2131757,0.2963,0.2654,0.5255
2147352,0.2954,0.3071,0.5411
2131680,0.1531,0.1840,0.5826
2147426,0.4607,0.3242,0.7375
2141509,0.3782,0.3751,0.6280
2147356,0.2574,0.2020,0.7895
2101712,0.2932,1.0000,0.2932
2131640,0.2811,0.9522,0.2968
2153812,0.3937,0.3786,0.9473
2147430,0.3590,0.3712,0.7011
2153768,0.1957,0.3333,0.3235
2155391,0.3992,1.0000,0.3992
2131685,0.1280,0.4885,0.2271
2162068,0.3057,0.4861,0.4780
2147515,0.1521,0.5646,0.2152
2141347,0.4628,0.8031,0.5595
2167919,0.2064,0.2019,0.5646
2161912,0.2649,0.2825,0.5149
2173667,0.3087,1.0000,0.3087
2173679,0.1868,0.1646,0.8961
2123964,0.3571,0.9853,0.4036
2173681,0.1319,1.0000,0.1319
2123387,0.3786,1.0000,0.3786
2167946,0.2478,0.2965,0.4539
2184322,0.3936,0.6124,0.6886
2154394,0.3579,0.5963,0.6093
2168861,0.2995,0.4634,0.6645
2153837,0.2012,0.9460,0.2248
2183834,0.4971,0.3754,0.4968
2142265,0.3887,1.0000,0.3887
2190225,0.2038,0.3988,0.4892
2168389,0.1853,1.0000,0.1853
2173748,0.3220,1.0000,0.3220
2197724,0.1194,0.1141,0.5304
2183877,0.1127,0.1809,0.3464
2167926,0.2388,1.0000,0.2388
2197651,0.0879,0.0834,0.1880
2161786,0.4441,1.0000,0.4441
2190228,0.2208,1.0000,0.2208
2161869,0.5608,1.0000,0.5608
2205682,0.2375,0.2320,0.7968
2162075,0.3484,1.0000,0.3484
2190262,0.5197,0.5302,0.7791
2210498,0.1984,0.3656,0.3970
2204666,0.3248,0.2545,0.5114
2183945,0.3811,1.0000,0.3811
2190325,0.4445,1.0000,0.4445
2225714,0.4103,0.3791,0.6018
2210538,0.4630,0.5589,0.5909
2190216,0.0916,0.0659,0.4624
2216442,0.1376,1.0000,0.1376
2210492,0.3285,0.5209,0.7355
2237950,0.5064,1.0000,0.5064
2197667,0.1227,1.0000,0.1227
2225793,0.3733,0.7676,0.6151
2216572,0.3176,1.0000,0.3176
2205126,0.3119,1.0000,0.3119
2226051,0.2323,0.2961,0.1384
2249648,0.5618,1.0000,0.5618
2210527,0.0714,1.0000,0.0714
2204692,0.1740,0.5220,0.1606
2237902,0.1995,1.0000,0.1995
2246105,0.2367,1.0000,0.2367
2216575,0.3658,1.0000,0.3658
2198099,0.5359,1.0000,0.5359
2216383,0.3757,1.0000,0.3757
2249661,0.4254,1.0000,0.4254
2256869,0.1413,0.2669,0.6237
2229000,0.3292,1.0000,0.3292
2257080,0.1256,1.0000,0.1256
2228904,0.3205,1.0000,0.3205
2225735,0.7271,1.0000,0.7271
2246018,0.2114,1.0000,0.2114
2229115,0.3300,0.9242,0.4962
2283485,0.8922,1.0000,0.8922
2237734,0.1772,1.0000,0.1772
2270468,0.2406,1.0000,0.2406
2237754,0.2631,1.0000,0.2631
2226404,0.2441,1.0000,0.2441
2283793,0.3680,0.3921,0.9013
2261656,0.2108,1.0000,0.2108
2246028,0.1689,1.0000,0.1689
