name,ac_total,ac_count,ans_total,ans_count,ref_total,ref_count,total_total,total_count,ans_total_ratio,ref_total_ratio,ans_count_ratio,ref_count_ratio
rotated_piece,0,0,50,1,0,0,50,1,,,,
heights,5,1,36,5,9,2,50,8,7.2,1.8,5.0,2.0
max_score,0,0,44,2,6,1,50,3,,,,
current_group_size,0,0,50,2,0,0,50,2,,,,
4,28,5,11,5,11,5,50,15,0.39285714285714285,0.39285714285714285,1.0,1.0
events,23,3,18,4,9,2,50,9,0.782608695652174,0.391304347826087,1.3333333333333333,0.6666666666666666
current_position,0,0,42,4,8,1,50,5,,,,
formatted_integer,0,0,14,1,36,1,50,2,,,,
snitch,25,1,0,0,25,1,50,2,0.0,1.0,0.0,1.0
check,35,3,0,0,15,1,50,4,0.0,0.42857142857142855,0.0,0.3333333333333333
component,0,0,50,2,0,0,50,2,,,,
max_size,8,1,34,4,8,1,50,6,4.25,1.0,4.0,1.0
max_index,0,0,27,3,23,2,50,5,,,,
likes,3,1,43,4,3,1,49,6,14.333333333333334,1.0,4.0,1.0
string,36,4,9,1,4,1,49,6,0.25,0.1111111111111111,0.25,0.25
floor,8,1,31,2,10,2,49,5,3.875,1.25,2.0,2.0
residents,10,1,39,1,0,0,49,2,3.9,0.0,1.0,0.0
sl3,0,0,0,0,49,1,49,1,,,,
vmax,25,4,0,0,24,3,49,7,0.0,0.96,0.0,0.75
protocol,0,0,49,2,0,0,49,2,,,,
polycarpus_move,0,0,49,1,0,0,49,1,,,,
nikephoros_move,0,0,49,1,0,0,49,1,,,,
two,41,2,0,0,8,1,49,3,0.0,0.1951219512195122,0.0,0.5
comparable_ways,0,0,0,0,48,1,48,1,,,,
road,3,1,43,3,2,1,48,5,14.333333333333334,0.6666666666666666,3.0,1.0
matched,48,1,0,0,0,0,48,1,0.0,0.0,0.0,0.0
languages,24,2,6,2,18,3,48,7,0.25,0.75,1.0,1.5
team2,0,0,48,2,0,0,48,2,,,,
operations,0,0,24,6,24,1,48,7,,,,
curchar,24,1,0,0,24,1,48,2,0.0,1.0,0.0,1.0
like,24,2,0,0,24,2,48,4,0.0,1.0,0.0,1.0
cl,24,1,0,0,24,1,48,2,0.0,1.0,0.0,1.0
sender,0,0,48,1,0,0,48,1,,,,
ml,30,2,0,0,18,1,48,3,0.0,0.6,0.0,0.5
S2,29,3,0,0,19,2,48,5,0.0,0.6551724137931034,0.0,0.6666666666666666
is_prefix,0,0,48,1,0,0,48,1,,,,
cur_len,24,1,0,0,24,1,48,2,0.0,1.0,0.0,1.0
domain,15,1,18,2,15,1,48,4,1.2,1.0,2.0,1.0
base,20,3,18,3,9,2,47,8,0.9,0.45,1.0,0.6666666666666666
avg_proficiency,0,0,44,1,3,1,47,2,,,,
swaps,0,0,32,5,15,1,47,6,,,,
re,29,2,0,0,18,1,47,3,0.0,0.6206896551724138,0.0,0.5
sp,41,3,0,0,5,1,46,4,0.0,0.12195121951219512,0.0,0.3333333333333333
apples,12,1,22,2,12,1,46,4,1.8333333333333333,1.0,2.0,1.0
partition,0,0,46,1,0,0,46,1,,,,
amulet,0,0,46,1,0,0,46,1,,,,
max,46,4,0,0,0,0,46,4,0.0,0.0,0.0,0.0
al,23,4,0,0,23,4,46,8,0.0,1.0,0.0,1.0
curtime,23,2,0,0,23,2,46,4,0.0,1.0,0.0,1.0
y4,0,0,1,1,45,1,46,2,,,,
xs,38,3,0,0,8,2,46,5,0.0,0.21052631578947367,0.0,0.6666666666666666
remaining_volume,0,0,28,2,18,1,46,3,,,,
mm,17,2,8,2,21,2,46,6,0.47058823529411764,1.2352941176470589,1.0,1.0
time1,8,1,36,4,2,1,46,6,4.5,0.25,4.0,1.0
_A,46,1,0,0,0,0,46,1,0.0,0.0,0.0,0.0
z2,23,2,2,1,20,1,45,4,0.08695652173913043,0.8695652173913043,0.5,0.5
movement,0,0,45,1,0,0,45,1,,,,
start_col,0,0,45,5,0,0,45,5,,,,
types,4,2,22,2,19,2,45,6,5.5,4.75,1.0,1.0
ty,10,2,25,2,10,2,45,6,2.5,1.0,1.0,1.0
formatted_integer_part,0,0,21,1,24,1,45,2,,,,
x4,0,0,0,0,45,1,45,1,,,,
current_index,0,0,45,3,0,0,45,3,,,,
min_price,0,0,37,5,8,1,45,6,,,,
lo,37,5,0,0,8,2,45,7,0.0,0.21621621621621623,0.0,0.4
yb,21,1,3,1,21,1,45,3,0.14285714285714285,1.0,1.0,1.0
new_y,0,0,38,3,7,2,45,5,,,,
power,4,2,19,3,22,3,45,8,4.75,5.5,1.5,1.5
people,0,0,42,2,3,1,45,3,,,,
matches,14,1,13,4,18,2,45,7,0.9285714285714286,1.2857142857142858,4.0,2.0
num_str,0,0,34,6,11,3,45,9,,,,
min_mex,0,0,45,2,0,0,45,2,,,,
ranks,20,1,5,1,20,1,45,3,0.25,1.0,1.0,1.0
team1,0,0,44,1,0,0,44,1,,,,
best_orb,0,0,44,1,0,0,44,1,,,,
parents,16,2,12,4,16,3,44,9,0.75,1.0,2.0,1.5
smash,22,1,0,0,22,1,44,2,0.0,1.0,0.0,1.0
id,28,6,14,1,2,1,44,8,0.5,0.07142857142857142,0.16666666666666666,0.16666666666666666
ops,0,0,44,5,0,0,44,5,,,,
best_weapon,0,0,44,1,0,0,44,1,,,,
h2,30,4,4,1,10,2,44,7,0.13333333333333333,0.3333333333333333,0.25,0.5
max_height,0,0,10,3,34,3,44,6,,,,
best_armor,0,0,44,1,0,0,44,1,,,,
room,0,0,25,1,19,2,44,3,,,,
ap,24,2,0,0,19,1,43,3,0.0,0.7916666666666666,0.0,0.5
factors,5,1,30,3,8,2,43,6,6.0,1.6,3.0,2.0
nxt,23,3,0,0,20,2,43,5,0.0,0.8695652173913043,0.0,0.6666666666666666
E,29,3,0,0,14,1,43,4,0.0,0.4827586206896552,0.0,0.3333333333333333
piece,0,0,43,1,0,0,43,1,,,,
a3,16,1,9,2,18,2,43,5,0.5625,1.125,2.0,2.0
f2,27,2,12,1,3,1,42,4,0.4444444444444444,0.1111111111111111,0.5,0.5
price,15,1,20,2,7,2,42,5,1.3333333333333333,0.4666666666666667,2.0,2.0
depth,23,3,6,1,13,1,42,5,0.2608695652173913,0.5652173913043478,0.3333333333333333,0.3333333333333333
plates,21,1,0,0,21,1,42,2,0.0,1.0,0.0,1.0
railways,0,0,37,2,5,1,42,3,,,,
accident_possible,0,0,0,0,42,1,42,1,,,,
maxSoFar,21,1,0,0,21,1,42,2,0.0,1.0,0.0,1.0
cond,29,2,0,0,13,2,42,4,0.0,0.4482758620689655,0.0,1.0
gap,21,1,0,0,21,1,42,2,0.0,1.0,0.0,1.0
best_b,0,0,36,2,6,1,42,3,,,,
remaining_sum,0,0,42,1,0,0,42,1,,,,
skills,9,1,17,2,16,2,42,5,1.8888888888888888,1.7777777777777777,2.0,2.0
sl2,0,0,0,0,42,1,42,1,,,,
works,21,1,0,0,21,1,42,2,0.0,1.0,0.0,1.0
current_stick,0,0,42,1,0,0,42,1,,,,
current_passengers,0,0,42,2,0,0,42,2,,,,
need,34,6,0,0,8,3,42,9,0.0,0.23529411764705882,0.0,0.5
zeros,13,1,5,2,23,2,41,5,0.38461538461538464,1.7692307692307692,2.0,2.0
end_index,0,0,41,2,0,0,41,2,,,,
h1,29,3,0,0,12,1,41,4,0.0,0.41379310344827586,0.0,0.3333333333333333
pred,27,1,0,0,14,1,41,2,0.0,0.5185185185185185,0.0,1.0
P,31,6,6,1,4,2,41,9,0.1935483870967742,0.12903225806451613,0.16666666666666666,0.3333333333333333
item,20,3,12,1,9,1,41,5,0.6,0.45,0.3333333333333333,0.3333333333333333
v3,0,0,41,2,0,0,41,2,,,,
min_days,0,0,33,2,8,1,41,3,,,,
heroes,12,2,14,2,15,2,41,6,1.1666666666666667,1.25,1.0,1.0
terms,16,2,8,1,16,2,40,5,0.5,1.0,0.5,1.0
grade,0,0,40,1,0,0,40,1,,,,
mini,30,3,0,0,10,1,40,4,0.0,0.3333333333333333,0.0,0.3333333333333333
px,16,2,8,1,16,2,40,5,0.5,1.0,0.5,1.0
withFile,40,1,0,0,0,0,40,1,0.0,0.0,0.0,0.0
wind,0,0,40,1,0,0,40,1,,,,
bus_location,0,0,40,1,0,0,40,1,,,,
found_spot,0,0,40,1,0,0,40,1,,,,
vertex,20,2,0,0,20,2,40,4,0.0,1.0,0.0,1.0
min_height,0,0,12,2,28,1,40,3,,,,
record,31,4,0,0,9,2,40,6,0.0,0.2903225806451613,0.0,0.5
category,0,0,40,1,0,0,40,1,,,,
x_count,0,0,24,1,16,1,40,2,,,,
mintime,40,1,0,0,0,0,40,1,0.0,0.0,0.0,0.0
need_a,40,1,0,0,0,0,40,1,0.0,0.0,0.0,0.0
wall,0,0,40,3,0,0,40,3,,,,
