name,ac_total,ac_count,ans_total,ans_count,ref_total,ref_count,total_total,total_count,ans_total_ratio,ref_total_ratio,ans_count_ratio,ref_count_ratio
median,112,1,6,2,2,1,120,4,0.05357142857142857,0.017857142857142856,2.0,1.0
midx,120,1,0,0,0,0,120,1,0.0,0.0,0.0,0.0
month,94,2,17,2,8,2,119,6,0.18085106382978725,0.0851063829787234,1.0,1.0
le,118,5,0,0,0,0,118,5,0.0,0.0,0.0,0.0
candidate,14,2,51,2,53,7,118,11,3.642857142857143,3.7857142857142856,1.0,3.5
min_cost,18,2,35,5,65,5,118,12,1.9444444444444444,3.611111111111111,2.5,2.5
pattern,0,0,34,5,83,8,117,13,,,,
min_d,0,0,34,3,83,4,117,7,,,,
second,68,8,5,2,44,5,117,15,0.07352941176470588,0.6470588235294118,0.25,0.625
add,36,5,38,3,43,9,117,17,1.0555555555555556,1.1944444444444444,0.6,1.8
X,82,10,12,3,22,5,116,18,0.14634146341463414,0.2682926829268293,0.3,0.5
span,82,3,0,0,33,1,115,4,0.0,0.4024390243902439,0.0,0.3333333333333333
current_len,0,0,49,9,66,10,115,19,,,,
edges,10,3,10,3,94,13,114,19,1.0,9.4,1.0,4.333333333333333
y3,76,3,2,1,35,4,113,8,0.02631578947368421,0.4605263157894737,0.3333333333333333,1.3333333333333333
current_y,0,0,72,5,41,5,113,10,,,,
email,0,0,0,0,112,2,112,2,,,,
number,91,6,6,3,14,2,111,11,0.06593406593406594,0.15384615384615385,0.5,0.3333333333333333
fail,24,1,0,0,87,2,111,3,0.0,3.625,0.0,2.0
output,42,6,42,9,25,7,109,22,1.0,0.5952380952380952,1.5,1.1666666666666667
lower,41,4,17,5,50,8,108,17,0.4146341463414634,1.2195121951219512,1.25,2.0
V,59,6,0,0,49,4,108,10,0.0,0.8305084745762712,0.0,0.6666666666666666
op,14,1,73,6,18,2,105,9,5.214285714285714,1.2857142857142858,6.0,2.0
c1,41,7,32,7,32,6,105,20,0.7804878048780488,0.7804878048780488,1.0,0.8571428571428571
ti,18,2,69,7,18,3,105,12,3.8333333333333335,1.0,3.5,1.5
current_length,0,0,42,5,63,6,105,11,,,,
min,105,7,0,0,0,0,105,7,0.0,0.0,0.0,0.0
new_pos,0,0,6,1,99,2,105,3,,,,
K,44,4,24,3,36,2,104,9,0.5454545454545454,0.8181818181818182,0.75,0.5
y0,85,4,2,1,17,4,104,9,0.023529411764705882,0.2,0.25,1.0
