quarter,category,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time_sec,bugs,cyclomatic,sloc,comment_rate,mi_std,mi_custom
2020Q1,cs,5.810030538129914,32.990885335519884,24.94267348994509,46.92224991685634,38.80091587364979,71.86492340680142,211.56399988163665,441.3236173432332,4.070209649463471,3364.1842045654157,186.89912247585642,0.14710787244774434,15.944059832205468,84.72833360574145,25.3601659165752,64.37577283896682,64.37577283896682
2020Q1,non_cs,5.792598721863523,47.90473203141502,36.506815217352155,69.5440364804701,53.69733075327854,106.05085169782224,336.4434496918388,724.9193209321608,4.149049910281676,5635.144973037318,313.06360961318427,0.24163977364405356,13.91733004211931,83.04749025645224,35.91833471415756,66.44312282339007,66.44312282339007
2020Q2,cs,5.893512926480221,34.25151479797578,26.27212602186973,49.507496620060024,40.145027724456,75.77962264192975,223.5579406178217,473.7277540009904,4.193792366962934,3863.4956387412562,214.63864659673646,0.15790925133366343,16.878486802654603,85.40437523424798,24.75884293297263,64.69241611144174,64.69241611144174
2020Q2,non_cs,5.896807968031839,51.34644622132778,39.2370354913399,74.0341799832807,57.24325418935962,113.27121547462059,372.5481146672595,802.948117374179,4.166558199273801,6256.481735204532,347.582318622474,0.26764937245805964,14.201686030532503,87.12513667509583,33.17844967909407,66.63757944923202,66.63757944923202
2020Q3,cs,5.854615586918073,33.73778007022366,25.798543308732754,48.705561744901516,39.59239565714173,74.50410505363428,218.26231262304003,461.1377791308341,4.1584294572552905,3663.7028342039016,203.5390463446612,0.15371259304361132,16.89239255843264,87.63665910290136,24.45107078318842,64.51339378495716,64.51339378495716
2020Q3,non_cs,5.973551640246222,65.7935350798911,52.67802953664015,100.7766597180759,71.76708672013731,153.45468925471607,520.0916994268258,1205.573599990078,4.309114622342729,8578.550430365385,476.58613502029914,0.4018578666633592,13.767097239909539,87.16864928622738,46.53124196176923,65.74766446411226,65.74766446411226
2020Q4,cs,5.91096279752953,35.008407383818394,26.316681895949667,49.64621013203383,40.91937018134792,75.9628920279835,230.11212542013752,477.49759431302857,4.135007281259208,3706.3723826606542,205.90957681448077,0.1591658647710095,18.346877021382344,90.02098361741685,24.04277946018608,64.18688365238445,64.18688365238445
2020Q4,non_cs,5.854017513536458,49.87620465282051,40.05222303402662,75.1692422050397,55.73022216635697,115.22146523906632,355.8636665755258,807.244448819593,4.247567876704143,7171.934175976741,398.4407875542634,0.26908148293986434,15.412823251239123,87.93359278427647,33.2503845489948,66.28519712608224,66.28519712608224
2021Q1,cs,5.759310790151793,33.97976741102288,25.75875237915468,48.324768213124194,39.739078201174664,74.08352059227889,221.81919671023854,463.9221939612882,4.03127068341869,3594.7519217132417,199.7084400951801,0.15464073132042938,16.221057363762057,84.19184693544376,26.238816531004147,65.51892777282922,65.51892777282922
2021Q1,non_cs,6.081750348817187,52.88933529378942,40.08196637113151,76.61687179724613,58.97108564260661,116.69883816837763,373.5852551650547,807.6508913751752,4.284572818586573,5945.609301255643,330.3116278475357,0.26921696379172505,15.019445926447606,85.37330697822125,35.98717190570335,65.57679250406007,65.57679250406007
