fullname,type,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time_sec,bugs,cyclomatic,sloc,lloc,comment_rate,mi_std,mi_custom
710B,std,1.26,2.64,3.54,7.09,3.79,10.63,15.46,48.34,1.67,355.78,19.77,0.02,0.52,9.59,4.66,74.18,13.41,13.41
710A,1,4,24,21,42,28,63,118.04,302.86,3.5,1060.02,58.89,0.101,0,19,10,0.0,59.06,59.06
710A,2,1,3,2,4,4,6,4.75,12.0,0.67,8.0,0.44,0.004,0,10,8,42.86,100.0,100.0
710A,3,3,17,10,24,20,34,74.24,146.95,2.12,311.18,17.29,0.049,0,9,8,0.0,63.92,63.92
710A,4,3,13,10,20,16,30,52.86,120.0,2.31,276.92,15.38,0.04,0,14,14,0.0,59.5,59.5
710A,5,4,16,17,32,20,49,72.0,211.77,4.0,847.1,47.06,0.0706,0,37,20,0.0,53.85,53.85
710A,6,1,8,4,8,9,12,24.0,38.04,0.5,19.02,1.06,0.0127,0,45,19,5.26,73.75,73.75
710A,7,7,25,16,30,32,46,135.75,230.0,4.2,966.0,53.67,0.0767,6,109,43,0.0,47.02,47.02
710A,8,5,20,12,24,25,36,98.05,167.18,3.0,501.54,27.86,0.0557,0,7,4,0.0,71.17,71.17
710A,9,5,20,12,24,25,36,98.05,167.18,3.0,501.54,27.86,0.0557,0,7,4,0.0,71.17,71.17
710A,10,6,15,13,27,21,40,74.11,175.69,5.4,948.74,52.71,0.0586,0,11,9,0.0,62.52,62.52
710A,11,6,21,15,32,27,47,107.75,223.48,4.57,1021.62,56.76,0.0745,5,18,14,0.0,57.2,57.2
710A,12,2,20,10,24,22,34,88.44,151.62,1.2,181.94,10.11,0.0505,0,22,9,77.78,90.99,90.99
710A,13,4,9,7,14,13,21,36.53,77.71,3.11,241.76,13.43,0.0259,0,25,12,0.0,62.41,62.41
710A,14,3,10,6,12,13,18,37.97,66.61,1.8,119.89,6.66,0.0222,0,15,7,0.0,68.12,68.12
710A,15,8,18,16,30,26,46,99.06,216.22,6.67,1441.47,80.08,0.0721,2,24,17,5.88,69.82,69.82
710A,16,3,21,16,32,24,48,96.99,220.08,2.29,503.04,27.95,0.0734,0,15,13,7.69,73.98,73.98
710A,17,4,18,18,36,22,54,83.06,240.81,4.0,963.24,53.51,0.0803,0,27,13,0.0,57.28,57.28
710A,18,2,11,9,18,13,27,40.05,99.91,1.64,163.49,9.08,0.0333,0,27,14,0.0,60.06,60.06
710A,19,5,17,17,26,22,43,81.1,191.76,3.82,733.18,40.73,0.0639,4,19,6,0.0,66.5,66.5
710A,20,5,27,37,74,32,111,139.99,555.0,6.85,3802.78,211.27,0.185,0,55,23,0.0,49.2,49.2
710A,21,3,15,12,24,18,36,63.36,150.12,2.4,360.28,20.02,0.05,0,23,12,0.0,60.28,60.28
710A,22,2,16,9,18,18,27,66.0,112.59,1.12,126.66,7.04,0.0375,0,21,10,0.0,62.88,62.88
710A,23,2,12,9,18,14,27,45.02,102.8,1.5,154.2,8.57,0.0343,0,13,12,0.0,61.43,61.43
710A,24,5,13,10,16,18,26,59.72,108.42,3.08,333.59,18.53,0.0361,0,17,9,0.0,64.26,64.26
710A,25,4,27,26,54,31,80,136.38,396.34,4.0,1585.34,88.07,0.1321,0,39,17,0.0,52.95,52.95
710A,26,3,7,6,12,10,18,24.41,59.79,2.57,153.76,8.54,0.0199,0,17,13,0.0,62.59,62.59
710A,27,3,12,11,21,15,32,47.77,125.02,2.62,328.18,18.23,0.0417,0,31,15,0.0,58.59,58.59
710A,28,4,16,10,20,20,30,72.0,129.66,2.5,324.14,18.01,0.0432,6,23,11,0.0,61.68,61.68
710A,29,4,28,17,37,32,54,142.61,270.0,2.64,713.57,39.64,0.09,0,19,9,0.0,60.55,60.55
710A,30,3,16,10,20,19,30,68.75,127.44,1.88,238.95,13.27,0.0425,0,15,12,25.0,86.07,86.07
710A,31,3,16,12,26,19,38,68.75,161.42,2.44,393.46,21.86,0.0538,0,9,9,0.0,62.51,62.51
710A,32,7,16,14,24,23,38,83.65,171.9,5.25,902.45,50.14,0.0573,0,8,9,0.0,62.59,62.59
710A,33,5,20,19,40,25,59,98.05,273.99,5.0,1369.94,76.11,0.0913,0,27,14,0.0,56.45,56.45
710A,34,5,24,16,34,29,50,121.65,242.9,3.54,860.27,47.79,0.081,0,19,11,0.0,59.1,59.1
710A,35,2,24,16,32,26,48,112.04,225.62,1.33,300.83,16.71,0.0752,0,39,19,0.0,53.88,53.88
710A,36,3,12,6,12,15,18,47.77,70.32,1.5,105.49,5.86,0.0234,0,13,7,0.0,67.96,67.96
710A,37,7,19,14,27,26,41,100.36,192.72,4.97,958.52,53.25,0.0642,5,31,14,0.0,57.92,57.92
710A,38,2,12,9,18,14,27,45.02,102.8,1.5,154.2,8.57,0.0343,0,25,13,0.0,60.67,60.67
710A,39,4,43,22,52,47,74,241.33,411.04,2.42,994.14,55.23,0.137,0,13,7,0.0,60.98,60.98
