fullname,type,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time_sec,bugs,cyclomatic,sloc,lloc,comment_rate,mi_std,mi_custom
725A,44,7,15,15,29,22,44,78.25,196.21,6.77,1327.72,73.76,0.0654,0,33,17,0.0,56.16,56.16
725A,45,3,6,6,11,9,17,20.26,53.89,2.75,148.19,8.23,0.018,0,37,15,6.67,76.46,76.46
725A,46,3,7,4,7,10,11,24.41,36.54,1.5,54.81,3.05,0.0122,0,27,15,0.0,62.73,62.73
725A,47,1,2,1,2,3,3,2.0,4.75,0.5,2.38,0.13,0.0016,0,5,3,0.0,84.72,84.72
725A,mean,4.17,9.64,8.19,15.4,13.81,23.6,42.49,94.21,3.4,431.33,23.96,0.03,0.55,26.19,14.49,3.58,66.15,66.15
725A,std,1.85,4.97,4.67,8.97,6.63,13.62,30.04,70.32,1.82,550.62,30.59,0.02,2.4,16.52,6.86,9.7,10.34,10.34
729E,1,6,16,18,36,22,54,79.51,240.81,6.75,1625.46,90.3,0.0803,0,101,31,53.33,79.04,79.04
729E,mean,6,16,18,36,22,54,79.51,240.81,6.75,1625.46,90.3,0.08,0,101,31,53.33,79.04,79.04
729E,std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
730I,1,4,26,22,43,30,65,130.21,318.95,3.31,1054.98,58.61,0.1063,4,47,37,2.86,56.14,56.14
730I,mean,4,26,22,43,30,65,130.21,318.95,3.31,1054.98,58.61,0.11,4,47,37,2.86,56.14,56.14
730I,std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
733A,1,1,4,2,4,5,6,8.0,13.93,0.5,6.97,0.39,0.0046,0,7,5,75.0,100.0,100.0
733A,2,4,21,10,24,25,34,100.24,157.89,2.29,360.89,20.05,0.0526,0,25,13,0.0,58.96,58.96
733A,3,4,5,6,10,9,16,19.61,50.72,4.0,202.88,11.27,0.0169,0,43,17,5.88,74.9,74.9
733A,4,3,5,4,8,8,12,16.36,36.0,2.4,86.4,4.8,0.012,3,45,17,0.0,61.45,61.45
733A,5,8,39,24,50,47,74,230.13,411.04,5.13,2107.9,117.11,0.137,0,27,13,0.0,55.65,55.65
733A,6,3,7,4,8,10,12,24.41,39.86,1.71,68.34,3.8,0.0133,0,17,8,0.0,68.69,68.69
733A,7,5,16,12,27,21,39,75.61,171.3,4.22,722.67,40.15,0.0571,0,33,14,0.0,58.01,58.01
733A,8,1,2,1,2,3,3,2.0,4.75,0.5,2.38,0.13,0.0016,0,4,4,0.0,81.86,81.86
733A,9,3,5,5,10,8,15,16.36,45.0,3.0,135.0,7.5,0.015,0,16,13,7.69,79.35,79.35
733A,10,4,16,9,22,20,31,72.0,133.98,2.75,368.44,20.47,0.0447,0,13,11,18.18,83.78,83.78
733A,11,4,12,9,18,16,27,51.02,108.0,3.0,324.0,18.0,0.036,0,23,12,0.0,61.55,61.55
733A,12,5,11,9,17,16,26,49.66,104.0,3.86,401.82,22.32,0.0347,0,29,15,0.0,59.55,59.55
733A,13,4,17,12,28,21,40,77.49,175.69,3.29,578.75,32.15,0.0586,0,23,12,0.0,59.4,59.4
733A,14,2,4,2,4,6,6,10.0,15.51,1.0,15.51,0.86,0.0052,1,27,14,0.0,66.26,66.26
733A,15,3,6,4,7,9,11,20.26,34.87,1.75,61.02,3.39,0.0116,0,8,8,0.0,69.1,69.1
733A,16,4,18,12,28,22,40,83.06,178.38,3.11,554.95,30.83,0.0595,0,14,14,0.0,58.02,58.02
733A,17,2,4,2,4,6,6,10.0,15.51,1.0,15.51,0.86,0.0052,0,23,12,0.0,67.72,67.72
733A,18,6,48,29,72,54,101,283.59,581.24,4.5,2615.6,145.31,0.1937,0,37,19,0.0,49.79,49.79
733A,19,5,7,6,11,12,17,31.26,60.94,3.93,239.42,13.3,0.0203,0,23,12,0.0,63.56,63.56
733A,20,3,8,6,12,11,18,28.75,62.27,2.25,140.11,7.78,0.0208,0,19,10,0.0,65.22,65.22
733A,21,6,28,17,38,34,55,150.12,279.81,4.07,1139.23,63.29,0.0933,6,31,16,0.0,55.12,55.12
733A,22,3,8,6,12,11,18,28.75,62.27,2.25,140.11,7.78,0.0208,0,14,9,0.0,66.22,66.22
733A,23,4,16,10,24,20,34,72.0,146.95,3.0,440.84,24.49,0.049,0,27,13,0.0,59.18,59.18
733A,24,2,4,2,4,6,6,10.0,15.51,1.0,15.51,0.86,0.0052,0,21,11,0.0,68.54,68.54
733A,25,1,2,1,2,3,3,2.0,4.75,0.5,2.38,0.13,0.0016,0,3,2,0.0,88.56,88.56
733A,26,4,11,8,14,15,22,46.05,85.95,2.55,218.79,12.15,0.0287,0,21,11,0.0,63.07,63.07
733A,27,4,21,10,24,25,34,100.24,157.89,2.29,360.89,20.05,0.0526,0,19,10,0.0,61.58,61.58
733A,28,5,8,6,12,13,18,35.61,66.61,3.75,249.78,13.88,0.0222,0,31,16,0.0,60.16,60.16
733A,29,3,6,4,8,9,12,20.26,38.04,2.0,76.08,4.23,0.0127,0,25,13,0.0,64.23,64.23
733A,mean,3.66,12.38,8,17.38,16.03,25.38,57.75,112.37,2.61,401.8,22.32,0.04,0.34,22.34,11.86,3.68,66.53,66.53
733A,std,1.56,10.7,6.37,15.26,11.97,21.59,64.88,125.57,1.26,593.4,32.97,0.04,1.21,10.2,3.81,13.97,10.86,10.86
740B,1,2,8,4,8,10,12,26.0,39.86,1.0,39.86,2.21,0.0133,0,33,17,0.0,61.55,61.55
740B,2,3,6,4,8,9,12,20.26,38.04,2.0,76.08,4.23,0.0127,0,9,11,0.0,65.68,65.68
740B,3,3,5,3,6,8,9,16.36,27.0,1.8,48.6,2.7,0.009,0,17,10,0.0,67.76,67.76
740B,4,5,11,9,16,16,25,49.66,100.0,3.64,363.64,20.2,0.0333,0,37,17,0.0,58.35,58.35
740B,5,3,6,4,8,9,12,20.26,38.04,2.0,76.08,4.23,0.0127,0,17,10,0.0,66.31,66.31
740B,6,3,13,8,16,16,24,52.86,96.0,1.85,177.23,9.85,0.032,0,25,13,0.0,61.28,61.28
740B,7,4,9,6,12,13,18,36.53,66.61,2.67,177.62,9.87,0.0222,0,29,14,7.14,76.8,76.8
740B,8,4,18,12,24,22,36,83.06,160.54,2.67,428.11,23.78,0.0535,0,33,12,8.33,76.94,76.94
740B,9,3,6,4,8,9,12,20.26,38.04,2.0,76.08,4.23,0.0127,0,35,11,9.09,82.65,82.65
740B,10,3,5,3,6,8,9,16.36,27.0,1.8,48.6,2.7,0.009,0,17,10,0.0,67.76,67.76
740B,mean,3.3,8.7,5.7,11.2,12,16.9,34.16,63.11,2.14,151.19,8.4,0.02,0,25.2,12.5,2.46,68.51,68.51
740B,std,0.78,4.0,2.87,5.53,4.43,8.38,20.66,41.21,0.67,131.74,7.32,0.01,0.0,9.14,2.58,3.78,7.47,7.47
740D,1,4,39,33,66,43,99,214.13,537.2,3.38,1818.22,101.01,0.1791,2,48,34,11.76,65.74,65.74
740D,2,4,41,33,66,45,99,227.66,543.69,3.22,1750.43,97.25,0.1812,7,46,36,2.78,56.12,56.12
740D,mean,4,40,33,66,44,99,220.89,540.45,3.3,1784.33,99.13,0.18,4.5,47,35,7.27,60.93,60.93
740D,std,0.0,1.0,0.0,0.0,1.0,0.0,6.77,3.25,0.08,33.89,1.88,0.0,2.5,1.0,1.0,4.49,4.81,4.81
742C,1,6,19,18,35,25,53,96.22,246.12,5.53,1360.16,75.56,0.082,2,91,36,5.56,61.14,61.14
742C,2,9,14,11,21,23,32,81.83,144.75,6.75,977.09,54.28,0.0483,2,36,28,3.57,63.25,63.25
742C,3,9,16,12,23,25,35,92.53,162.53,6.47,1051.4,58.41,0.0542,3,18,18,0.0,56.06,56.06
742C,4,9,16,12,23,25,35,92.53,162.53,6.47,1051.4,58.41,0.0542,3,16,18,0.0,56.06,56.06
742C,mean,8.25,16.25,13.25,25.5,24.5,38.75,90.78,178.98,6.3,1110.01,61.66,0.06,2.5,40.25,25,2.28,59.13,59.13
742C,std,1.3,1.79,2.77,5.55,0.87,8.32,5.38,39.44,0.46,147.57,8.2,0.01,0.5,30.32,7.55,2.39,3.16,3.16
742B,1,7,14,11,22,21,33,72.95,144.95,5.5,797.21,44.29,0.0483,0,26,21,0.0,54.81,54.81
742B,2,3,9,5,10,12,15,33.28,53.77,1.67,89.62,4.98,0.0179,0,33,10,44.44,94.52,94.52
742B,3,7,18,13,26,25,39,94.71,181.11,5.06,915.61,50.87,0.0604,0,19,18,0.0,56.13,56.13
742B,4,6,12,9,18,18,27,58.53,112.59,4.5,506.65,28.15,0.0375,0,14,14,0.0,59.96,59.96
742B,5,5,9,6,12,14,18,40.14,68.53,3.33,228.44,12.69,0.0228,0,23,11,0.0,63.89,63.89
742B,6,4,8,6,12,12,18,32.0,64.53,3.0,193.59,10.75,0.0215,0,14,11,9.09,81.18,81.18
742B,7,4,9,6,12,13,18,36.53,66.61,2.67,177.62,9.87,0.0222,0,11,12,0.0,63.02,63.02
742B,8,2,6,3,6,8,9,17.51,27.0,1.0,27.0,1.5,0.009,0,13,7,0.0,71.27,71.27
742B,mean,4.75,10.62,7.38,14.75,15.38,22.12,48.21,89.89,3.34,366.97,20.39,0.03,0,19.12,13,6.69,68.1,68.1
742B,std,1.71,3.6,3.12,6.24,5.19,9.36,23.74,48.44,1.49,312.9,17.38,0.02,0.0,7.17,4.24,14.57,12.79,12.79
743C,1,4,3,5,9,7,14,12.75,39.3,6.0,235.82,13.1,0.0131,0,5,5,0.0,73.32,73.32
743C,2,4,3,5,9,7,14,12.75,39.3,6.0,235.82,13.1,0.0131,0,5,5,0.0,73.32,73.32
743C,3,4,3,5,9,7,14,12.75,39.3,6.0,235.82,13.1,0.0131,2,10,7,14.29,90.76,90.76
743C,4,4,3,5,9,7,14,12.75,39.3,6.0,235.82,13.1,0.0131,0,3,2,0.0,82.0,82.0
743C,mean,4,3,5,9,7,14,12.75,39.3,6.0,235.82,13.1,0.01,0.5,5.75,4.75,3.57,79.85,79.85
743C,std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,2.59,1.79,6.19,7.23,7.23
745B,1,5,13,10,18,18,28,59.72,116.76,3.46,404.16,22.45,0.0389,0,27,16,0.0,58.45,58.45
745B,2,4,13,8,16,17,24,56.11,98.1,2.46,241.47,13.42,0.0327,0,12,12,0.0,61.84,61.84
745B,3,3,9,5,10,12,15,33.28,53.77,1.67,89.62,4.98,0.0179,0,37,18,0.0,59.42,59.42
745B,4,3,14,11,22,17,33,58.06,134.89,2.36,317.95,17.66,0.045,17,46,42,0.0,47.39,47.39
745B,5,10,22,15,27,32,42,131.33,210.0,6.14,1288.64,71.59,0.07,0,23,23,0.0,52.42,52.42
745B,6,4,8,6,12,12,18,32.0,64.53,3.0,193.59,10.75,0.0215,1,21,16,6.25,74.6,74.6
745B,7,5,16,9,19,21,28,75.61,122.98,2.97,365.11,20.28,0.041,0,47,20,15.0,76.4,76.4
745B,8,3,4,4,6,7,10,12.75,28.07,2.25,63.17,3.51,0.0094,0,13,6,160.0,87.02,87.02
745B,9,8,17,12,22,25,34,93.49,157.89,5.18,817.32,45.41,0.0526,0,26,24,0.0,52.75,52.75
745B,10,3,6,4,8,9,12,20.26,38.04,2.0,76.08,4.23,0.0127,0,107,23,118.18,80.86,80.86
745B,11,6,15,12,24,21,36,74.11,158.12,4.8,758.99,42.17,0.0527,0,55,26,0.0,52.53,52.53
745B,mean,4.91,12.45,8.73,16.73,17.36,25.45,58.79,107.56,3.3,419.65,23.31,0.04,1.64,37.64,20.55,27.22,63.97,63.97
745B,std,2.19,5.03,3.49,6.61,6.97,10.07,32.98,54.47,1.39,366.67,20.37,0.02,4.87,25.72,8.77,53.67,12.81,12.81
747C,1,5,13,8,14,18,22,59.72,91.74,2.69,246.99,13.72,0.0306,0,40,36,0.0,50.96,50.96
747C,mean,5,13,8,14,18,22,59.72,91.74,2.69,246.99,13.72,0.03,0,40,36,0.0,50.96,50.96
747C,std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
753A,1,3,7,8,16,10,24,24.41,79.73,3.43,273.35,15.19,0.0266,0,16,16,0.0,59.75,59.75
753A,2,5,10,10,20,15,30,44.83,117.21,5.0,586.03,32.56,0.0391,0,9,9,0.0,64.29,64.29
753A,3,5,11,7,14,16,21,49.66,84.0,3.18,267.27,14.85,0.028,5,65,20,40.0,85.59,85.59
753A,4,8,16,15,27,24,42,88.0,192.57,6.75,1299.84,72.21,0.0642,2,51,23,0.0,53.09,53.09
753A,5,8,26,17,33,34,50,146.21,254.37,5.08,1291.43,71.75,0.0848,13,69,30,3.7,60.41,60.41
753A,6,3,5,5,10,8,15,16.36,45.0,3.0,135.0,7.5,0.015,0,25,13,0.0,63.59,63.59
753A,7,6,10,10,17,16,27,48.73,108.0,5.1,550.8,30.6,0.036,0,27,10,0.0,63.54,63.54
753A,8,5,9,7,14,14,21,40.14,79.95,3.89,310.93,17.27,0.0267,0,9,9,0.0,65.46,65.46
753A,9,3,8,7,14,11,21,28.75,72.65,2.62,190.7,10.59,0.0242,0,25,13,0.0,62.26,62.26
753A,10,5,10,10,20,15,30,44.83,117.21,5.0,586.03,32.56,0.0391,0,17,9,0.0,64.29,64.29
753A,11,4,6,7,14,10,21,23.51,69.76,4.67,325.55,18.09,0.0233,0,37,19,0.0,58.52,58.52
753A,12,4,5,6,12,9,18,19.61,57.06,4.8,273.88,15.22,0.019,0,31,14,14.29,82.79,82.79
753A,13,5,4,6,11,9,17,19.61,53.89,6.88,370.48,20.58,0.018,0,25,13,0.0,63.17,63.17
753A,14,5,14,11,22,19,33,64.91,140.18,3.93,550.71,30.6,0.0467,0,11,9,11.11,82.38,82.38
753A,15,6,15,16,32,21,48,74.11,210.83,6.4,1349.32,74.96,0.0703,0,14,14,0.0,57.92,57.92
753A,16,4,13,9,18,17,27,56.11,110.36,2.77,305.62,16.98,0.0368,5,35,16,0.0,58.89,58.89
753A,17,5,9,9,17,14,26,40.14,98.99,4.72,467.46,25.97,0.033,3,25,18,5.56,71.83,71.83
753A,18,3,6,6,12,9,18,20.26,57.06,3.0,171.18,9.51,0.019,0,19,10,0.0,65.48,65.48
753A,19,4,4,5,9,8,14,16.0,42.0,4.5,189.0,10.5,0.014,0,19,10,11.11,85.04,85.04
753A,20,5,12,9,17,17,26,54.63,106.27,3.54,376.39,20.91,0.0354,0,13,7,0.0,67.11,67.11
753A,21,4,8,7,12,12,19,32.0,68.11,3.0,204.34,11.35,0.0227,0,8,8,0.0,67.19,67.19
753A,22,4,7,10,20,11,30,27.65,103.78,5.71,593.05,32.95,0.0346,0,18,12,0.0,61.94,61.94
753A,23,3,6,6,12,9,18,20.26,57.06,3.0,171.18,9.51,0.019,0,14,10,0.0,65.35,65.35
753A,24,5,4,7,13,9,20,19.61,63.4,8.12,515.11,28.62,0.0211,0,31,15,0.0,61.19,61.19
753A,25,7,17,18,36,24,54,89.14,247.59,7.41,1835.06,101.95,0.0825,0,37,19,0.0,54.67,54.67
753A,26,4,11,11,20,15,31,46.05,121.11,3.64,440.41,24.47,0.0404,0,35,19,0.0,56.98,56.98
753A,27,6,15,14,28,21,42,74.11,184.48,5.6,1033.07,57.39,0.0615,3,20,12,8.33,76.52,76.52
753A,28,3,10,9,18,13,27,37.97,99.91,2.7,269.76,14.99,0.0333,2,33,17,0.0,58.89,58.89
753A,29,4,4,5,9,8,14,16.0,42.0,4.5,189.0,10.5,0.014,0,12,10,0.0,66.55,66.55
753A,30,4,6,9,14,10,23,23.51,76.4,4.67,356.55,19.81,0.0255,0,19,10,0.0,64.6,64.6
753A,31,6,12,9,17,18,26,58.53,108.42,4.25,460.78,25.6,0.0361,0,21,7,0.0,67.05,67.05
753A,32,5,8,6,12,13,18,35.61,66.61,3.75,249.78,13.88,0.0222,4,31,16,0.0,60.29,60.29
753A,33,4,7,5,10,11,15,27.65,51.89,2.86,148.26,8.24,0.0173,3,31,14,7.14,77.83,77.83
753A,34,3,5,5,10,8,15,16.36,45.0,3.0,135.0,7.5,0.015,4,37,15,0.0,62.37,62.37
753A,35,5,13,8,16,18,24,59.72,100.08,3.08,307.93,17.11,0.0334,1,10,8,0.0,66.02,66.02
753A,36,5,5,9,18,10,27,23.22,89.69,9.0,807.23,44.85,0.0299,0,55,27,0.0,53.89,53.89
753A,37,3,6,7,14,9,21,20.26,66.57,3.5,232.99,12.94,0.0222,0,14,11,0.0,64.11,64.11
753A,38,9,23,27,53,32,80,132.57,400.0,10.37,4147.83,230.43,0.1333,7,83,41,0.0,44.58,44.58
753A,39,5,14,14,24,19,38,64.91,161.42,4.29,691.81,38.43,0.0538,0,29,12,0.0,60.6,60.6
753A,40,4,9,9,18,13,27,36.53,99.91,4.0,399.65,22.2,0.0333,5,29,22,0.0,56.04,56.04
753A,41,5,14,15,30,19,45,64.91,191.16,5.36,1024.05,56.89,0.0637,0,33,31,0.0,50.42,50.42
753A,42,6,14,13,26,20,39,68.81,168.56,5.57,939.09,52.17,0.0562,0,17,9,0.0,63.32,63.32
753A,43,7,15,14,29,22,43,78.25,191.76,6.77,1297.55,72.09,0.0639,0,39,19,0.0,55.31,55.31
753A,44,5,9,7,12,14,19,40.14,72.34,3.33,241.13,13.4,0.0241,0,23,13,0.0,62.14,62.14
753A,45,4,9,12,24,13,36,36.53,133.22,5.33,710.48,39.47,0.0444,0,33,17,0.0,57.61,57.61
753A,46,4,4,5,9,8,14,16.0,42.0,4.5,189.0,10.5,0.014,0,21,11,0.0,65.51,65.51
753A,47,5,9,8,16,14,24,40.14,91.38,4.44,406.12,22.56,0.0305,5,43,20,0.0,57.08,57.08
753A,48,5,8,7,13,13,20,35.61,74.01,4.06,300.66,16.7,0.0247,0,54,21,110.0,81.49,81.49
753A,49,4,6,6,12,10,18,23.51,59.79,4.0,239.18,13.29,0.0199,0,27,13,0.0,62.72,62.72
753A,50,5,13,9,18,18,27,59.72,112.59,3.46,389.73,21.65,0.0375,2,23,10,0.0,63.42,63.42
753A,51,3,5,5,10,8,15,16.36,45.0,3.0,135.0,7.5,0.015,0,10,10,0.0,66.21,66.21
753A,52,5,8,6,12,13,18,35.61,66.61,3.75,249.78,13.88,0.0222,6,59,23,4.35,68.96,68.96
753A,53,5,12,9,17,17,26,54.63,106.27,3.54,376.39,20.91,0.0354,0,7,7,0.0,67.11,67.11
753A,54,5,10,10,20,15,30,44.83,117.21,5.0,586.03,32.56,0.0391,5,25,23,0.0,55.0,55.0
753A,55,5,10,7,13,15,20,44.83,78.14,3.25,253.95,14.11,0.026,2,46,14,169.23,73.96,73.96
753A,56,3,4,4,8,7,12,12.75,33.69,3.0,101.06,5.61,0.0112,0,35,14,0.0,63.76,63.76
753A,57,5,13,21,41,18,62,59.72,258.54,7.88,2038.45,113.25,0.0862,0,55,23,0.0,52.33,52.33
753A,58,4,4,5,9,8,14,16.0,42.0,4.5,189.0,10.5,0.014,0,19,10,10.0,84.37,84.37
753A,59,6,7,10,18,13,28,35.16,103.61,7.71,799.29,44.41,0.0345,0,31,16,0.0,58.95,58.95
753A,60,5,21,17,34,26,51,103.85,239.72,4.05,970.31,53.91,0.0799,7,30,24,4.17,64.56,64.56
753A,mean,4.75,9.75,9.42,18.23,14.5,27.65,44.5,109.64,4.62,574.93,31.94,0.04,1.4,28.98,15.25,6.65,64.27,64.27
753A,std,1.29,4.75,4.4,8.73,5.77,13.11,27.54,68.56,1.67,624.14,34.67,0.02,2.54,16.05,6.62,25.96,8.66,8.66
756A,1,6,14,10,20,20,30,68.81,129.66,4.29,555.68,30.87,0.0432,0,55,19,0.0,56.37,56.37
756A,mean,6,14,10,20,20,30,68.81,129.66,4.29,555.68,30.87,0.04,0,55,19,0.0,56.37,56.37
756A,std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
758C,1,12,44,75,148,56,223,283.23,1295.04,20.18,26136.26,1452.01,0.4317,0,159,79,0.0,32.24,32.24
758C,2,13,43,44,84,56,128,281.44,743.34,12.7,9438.71,524.37,0.2478,0,39,16,0.0,52.15,52.15
758C,mean,12.5,43.5,59.5,116,56,175.5,282.34,1019.19,16.44,17787.49,988.19,0.34,0,99,47.5,0.0,42.2,42.2
758C,std,0.5,0.5,15.5,32.0,0.0,47.5,0.9,275.85,3.74,8348.77,463.82,0.09,0.0,60.0,31.5,0.0,9.95,9.95
761C,1,4,11,7,15,15,22,46.05,85.95,2.73,234.41,13.02,0.0287,0,23,12,0.0,61.3,61.3
761C,2,4,14,10,17,18,27,61.3,112.59,2.43,273.43,15.19,0.0375,0,93,25,68.0,82.49,82.49
761C,3,4,14,10,17,18,27,61.3,112.59,2.43,273.43,15.19,0.0375,0,97,27,62.96,81.82,81.82
761C,4,4,14,10,17,18,27,61.3,112.59,2.43,273.43,15.19,0.0375,0,97,27,62.96,81.82,81.82
761C,5,4,14,10,17,18,27,61.3,112.59,2.43,273.43,15.19,0.0375,0,97,27,62.96,81.82,81.82
761C,6,4,14,10,17,18,27,61.3,112.59,2.43,273.43,15.19,0.0375,0,97,27,62.96,81.82,81.82
761C,7,4,14,10,17,18,27,61.3,112.59,2.43,273.43,15.19,0.0375,0,97,27,62.96,81.82,81.82
761C,8,5,16,11,21,21,32,75.61,140.55,3.28,461.19,25.62,0.0469,3,59,25,0.0,52.72,52.72
761C,9,5,12,10,20,17,30,54.63,122.62,4.17,510.93,28.39,0.0409,0,33,23,0.0,54.06,54.06
761C,10,7,25,20,40,32,60,135.75,300.0,5.6,1680.0,93.33,0.1,0,41,21,0.0,52.06,52.06
761C,mean,4.5,14.8,10.8,19.8,19.3,30.6,67.98,132.47,3.04,452.71,25.15,0.04,0.3,73.4,24.1,38.28,71.17,71.17
761C,std,0.92,3.63,3.22,6.93,4.45,10.09,23.62,57.24,1.01,418.35,23.24,0.02,0.9,29.32,4.48,31.29,13.38,13.38
762C,1,12,78,78,139,90,217,533.28,1408.73,10.69,15062.6,836.81,0.4696,0,81,43,0.0,38.28,38.28
762C,2,7,51,46,84,58,130,308.95,761.54,5.76,4390.04,243.89,0.2538,0,155,72,0.0,35.81,35.81
762C,mean,9.5,64.5,62,111.5,74,173.5,421.12,1085.13,8.22,9726.32,540.35,0.36,0,118,57.5,0.0,37.05,37.05
762C,std,2.5,13.5,16.0,27.5,16.0,43.5,112.16,323.6,2.46,5336.28,296.46,0.11,0.0,37.0,14.5,0.0,1.23,1.23
763C,1,11,42,38,73,53,111,264.53,635.8,9.56,6077.94,337.66,0.2119,8,35,34,0.0,45.21,45.21
763C,mean,11,42,38,73,53,111,264.53,635.8,9.56,6077.94,337.66,0.21,8,35,34,0.0,45.21,45.21
763C,std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10B,1,12,124,134,256,136,390,905.34,2764.11,12.39,34239.3,1902.18,0.9214,29,94,88,1.16,36.6,36.6
10B,2,10,60,59,115,70,174,387.63,1066.5,9.58,10220.58,567.81,0.3555,13,49,42,0.0,41.64,41.64
10B,mean,11,92,96.5,185.5,103,282,646.49,1915.31,10.98,22229.94,1234.99,0.64,21,71.5,65,0.58,39.12,39.12
10B,std,1.0,32.0,37.5,70.5,33.0,108.0,258.86,848.81,1.41,12009.36,667.19,0.28,8.0,22.5,23.0,0.58,2.52,2.52
10D,1,8,23,18,33,31,51,128.04,252.66,5.74,1450.07,80.56,0.0842,12,52,35,22.86,72.2,72.2
10D,mean,8,23,18,33,31,51,128.04,252.66,5.74,1450.07,80.56,0.08,12,52,35,22.86,72.2,72.2
10D,std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104B,1,4,9,6,12,13,18,36.53,66.61,2.67,177.62,9.87,0.0222,0,11,11,0.0,64.11,64.11
104B,2,3,8,5,10,11,15,28.75,51.89,1.88,97.3,5.41,0.0173,0,11,6,0.0,70.75,70.75
104B,mean,3.5,8.5,5.5,11,12,16.5,32.64,59.25,2.27,137.46,7.64,0.02,0,11,8.5,0.0,67.43,67.43
104B,std,0.5,0.5,0.5,1.0,1.0,1.5,3.89,7.36,0.4,40.16,2.23,0.0,0.0,0.0,2.5,0.0,3.32,3.32
105C,1,5,42,26,47,47,73,238.09,405.48,2.8,1134.39,63.02,0.1352,24,106,97,1.09,40.23,40.23
105C,mean,5,42,26,47,47,73,238.09,405.48,2.8,1134.39,63.02,0.14,24,106,97,1.09,40.23,40.23
105C,std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106B,1,3,11,5,11,14,16,42.81,60.92,1.5,91.38,5.08,0.0203,0,9,9,0.0,65.75,65.75
106B,2,5,14,8,17,19,25,64.91,106.2,3.04,322.39,17.91,0.0354,0,23,19,5.26,69.55,69.55
106B,3,6,17,10,20,23,30,85.0,135.71,3.53,478.97,26.61,0.0452,0,14,14,0.0,58.72,58.72
106B,4,2,8,4,8,10,12,26.0,39.86,1.0,39.86,2.21,0.0133,0,22,16,0.0,61.58,61.58
106B,5,5,18,9,19,23,28,86.67,126.66,2.64,334.24,18.57,0.0422,0,20,16,0.0,57.53,57.53
106B,mean,4.2,13.6,7.2,15,17.8,22.2,61.08,93.87,2.34,253.37,14.08,0.03,0,17.6,14.8,1.05,62.63,62.63
106B,std,1.47,3.72,2.32,4.69,5.11,7.0,23.69,37.36,0.95,163.72,9.1,0.01,0.0,5.31,3.31,2.1,4.47,4.47
108D,1,6,13,17,34,19,51,63.62,216.64,7.85,1699.82,94.43,0.0722,0,47,33,18.18,72.18,72.18
108D,mean,6,13,17,34,19,51,63.62,216.64,7.85,1699.82,94.43,0.07,0,47,33,18.18,72.18,72.18
108D,std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116A,1,2,3,2,4,5,6,6.75,13.93,1.33,18.58,1.03,0.0046,0,12,10,0.0,69.91,69.91
116A,2,3,5,3,6,8,9,16.36,27.0,1.8,48.6,2.7,0.009,0,9,9,0.0,68.76,68.76
116A,3,3,8,4,8,11,12,28.75,41.51,1.5,62.27,3.46,0.0138,2,20,18,0.0,60.88,60.88
116A,4,3,4,3,6,7,9,12.75,25.27,2.25,56.85,3.16,0.0084,0,10,10,0.0,67.96,67.96
116A,5,3,4,3,6,7,9,12.75,25.27,2.25,56.85,3.16,0.0084,0,11,10,0.0,67.83,67.83
116A,6,3,4,3,6,7,9,12.75,25.27,2.25,56.85,3.16,0.0084,0,12,10,0.0,67.83,67.83
116A,7,3,5,3,6,8,9,16.36,27.0,1.8,48.6,2.7,0.009,0,18,15,0.0,63.92,63.92
116A,8,2,4,2,4,6,6,10.0,15.51,1.0,15.51,0.86,0.0052,0,9,8,12.5,91.25,91.25
116A,9,3,6,3,6,9,9,20.26,28.53,1.5,42.79,2.38,0.0095,0,19,19,0.0,61.24,61.24
116A,10,3,4,3,6,7,9,12.75,25.27,2.25,56.85,3.16,0.0084,0,9,10,0.0,67.83,67.83
116A,11,3,5,3,6,8,9,16.36,27.0,1.8,48.6,2.7,0.009,0,13,11,0.0,66.86,66.86
116A,12,2,4,2,4,6,6,10.0,15.51,1.0,15.51,0.86,0.0052,0,6,6,0.0,74.42,74.42
