problem,pass_num,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time_sec,bugs,cyclomatic,sloc,lloc,comment_rate,mi_std,mi_custom
590B,pass@7,9.0,67.0,52.0,104.0,76.0,156.0,434.96,974.68,6.99,6808.19,378.23,0.3249,7.0,30.0,30.0,43.33,74.79,74.53
590B,pass@8,8.0,53.0,41.0,82.0,61.0,123.0,327.58,729.48,6.19,4514.52,250.81,0.2432,5.0,36.0,36.0,25.0,70.49,70.49
590B,pass@9,6.0,46.0,35.0,70.0,52.0,105.0,269.59,598.55,4.57,2732.49,151.81,0.1995,3.0,27.0,27.0,33.33,76.28,76.14
590B,pass@10,10.0,71.0,68.0,138.0,81.0,206.0,469.85,1306.01,9.72,12692.2,705.12,0.4353,14.0,57.0,57.0,56.14,67.37,67.23
590B,pass@11,11.0,52.0,42.0,84.0,63.0,126.0,334.48,753.14,8.88,6691.33,371.74,0.251,9.0,41.0,41.0,41.46,72.02,71.89
590B,pass@12,6.0,45.0,42.0,84.0,51.0,126.0,262.64,714.73,5.6,4002.46,222.36,0.2382,2.0,23.0,23.0,47.83,79.0,79.0
590B,pass@13,10.0,74.0,56.0,112.0,84.0,168.0,492.72,1073.91,7.57,8126.88,451.49,0.358,12.0,50.0,50.0,26.0,65.83,65.56
590B,pass@14,8.0,59.0,41.0,82.0,67.0,123.0,371.08,746.13,5.56,4147.97,230.44,0.2487,8.0,39.0,39.0,25.64,69.86,69.45
590B,pass@15,9.0,52.0,39.0,78.0,61.0,117.0,324.95,693.9,6.75,4683.8,260.21,0.2313,8.0,33.0,33.0,45.45,74.97,74.7
590B,pass@16,8.0,54.0,39.0,78.0,62.0,117.0,334.76,696.64,5.78,4025.04,223.61,0.2322,5.0,26.0,26.0,53.85,77.89,77.76
590B,pass@17,8.0,70.0,52.0,104.0,78.0,156.0,453.05,980.52,5.94,5827.11,323.73,0.3268,5.0,33.0,33.0,39.39,73.57,73.43
590B,pass@18,7.0,55.0,47.0,94.0,62.0,141.0,337.63,839.54,5.98,5021.99,279.0,0.2798,3.0,29.0,29.0,41.38,75.64,75.64
590B,pass@19,6.0,50.0,34.0,68.0,56.0,102.0,297.7,592.35,4.08,2416.79,134.27,0.1975,6.0,44.0,44.0,43.18,72.53,72.53
590B,pass@20,10.0,55.0,53.0,107.0,65.0,160.0,351.19,963.58,9.73,9372.99,520.72,0.3212,10.0,41.0,41.0,29.27,68.91,68.91
590B,pass@21,11.0,89.0,62.0,136.0,100.0,198.0,614.39,1315.48,8.4,11055.97,614.22,0.4385,6.0,39.0,39.0,38.46,67.88,70.7
590B,pass@22,8.0,49.0,31.0,62.0,57.0,93.0,299.12,542.46,5.06,2745.51,152.53,0.1808,3.0,34.0,34.0,26.47,72.5,72.64
590B,pass@23,7.0,43.0,46.0,92.0,50.0,138.0,252.98,778.85,7.49,5832.33,324.02,0.2596,9.0,47.0,47.0,21.28,66.08,65.95
590B,pass@24,11.0,75.0,59.0,118.0,86.0,177.0,505.22,1137.45,8.65,9842.72,546.82,0.3791,7.0,42.0,42.0,33.33,69.46,69.46
590B,pass@25,6.0,47.0,40.0,80.0,53.0,120.0,276.58,687.35,5.11,3509.87,194.99,0.2291,4.0,31.0,31.0,35.48,74.53,74.66
590B,pass@26,8.0,52.0,44.0,88.0,60.0,132.0,320.42,779.71,6.77,5278.03,293.22,0.2599,6.0,40.0,40.0,30.0,70.64,70.5
590B,pass@27,9.0,70.0,58.0,115.0,79.0,173.0,457.58,1090.55,7.39,8062.31,447.91,0.3635,6.0,56.0,53.0,32.14,67.15,67.29
590B,pass@28,7.0,52.0,53.0,106.0,59.0,159.0,316.07,935.34,7.13,6673.29,370.74,0.3118,5.0,37.0,37.0,40.54,72.77,72.64
590B,pass@29,7.0,60.0,50.0,100.0,67.0,150.0,374.06,909.91,5.83,5307.83,294.88,0.3033,4.0,24.0,24.0,41.67,77.22,77.08
590B,pass@30,9.0,61.0,55.0,112.0,70.0,167.0,390.3,1023.59,8.26,8457.2,469.84,0.3412,8.0,34.0,34.0,52.94,73.76,73.62
590B,pass@31,8.0,82.0,73.0,142.0,90.0,215.0,545.32,1395.75,6.93,9668.11,537.12,0.4652,8.0,39.0,39.0,28.21,68.53,68.26
590B,pass@32,7.0,84.0,77.0,154.0,91.0,231.0,556.61,1503.3,6.42,9646.18,535.9,0.5011,3.0,40.0,40.0,57.5,71.64,71.64
595B,pass@1,7.0,22.0,15.0,30.0,29.0,45.0,117.76,218.61,4.77,1043.36,57.96,0.0729,6.0,19.0,19.0,21.05,78.71,78.71
595B,pass@2,8.0,35.0,27.0,54.0,43.0,81.0,203.52,439.53,6.17,2712.51,150.7,0.1465,7.0,25.0,25.0,44.0,78.74,78.74
595B,pass@3,11.0,32.0,30.0,60.0,43.0,90.0,198.05,488.36,10.31,5036.25,279.79,0.1628,9.0,29.0,29.0,37.93,76.04,76.04
595B,pass@4,8.0,33.0,22.0,44.0,41.0,66.0,190.47,353.6,5.33,1885.86,104.77,0.1179,6.0,21.0,21.0,14.29,73.13,73.13
595B,pass@5,10.0,34.0,29.0,58.0,44.0,87.0,206.19,474.97,8.53,4051.22,225.07,0.1583,8.0,27.0,27.0,48.15,77.94,77.94
595B,pass@6,9.0,22.0,16.0,32.0,31.0,48.0,126.64,237.8,6.55,1556.52,86.47,0.0793,5.0,17.0,17.0,29.41,82.21,82.21
595B,pass@7,8.0,33.0,25.0,50.0,41.0,75.0,190.47,401.82,6.06,2435.25,135.29,0.1339,7.0,25.0,25.0,40.0,78.59,78.59
595B,pass@8,9.0,36.0,29.0,58.0,45.0,87.0,214.65,477.79,7.25,3463.99,192.44,0.1593,8.0,25.0,25.0,48.0,78.64,78.64
595B,pass@9,8.0,33.0,28.0,56.0,41.0,84.0,190.47,450.03,6.79,3054.78,169.71,0.15,8.0,30.0,30.0,23.33,72.74,72.74
595B,pass@10,7.0,22.0,15.0,30.0,29.0,45.0,117.76,218.61,4.77,1043.36,57.96,0.0729,6.0,19.0,19.0,5.26,68.3,68.3
595B,pass@11,11.0,43.0,36.0,72.0,54.0,108.0,271.38,621.53,9.21,5723.84,317.99,0.2072,10.0,34.0,34.0,29.41,72.19,72.05
