problem,pass_num,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time_sec,bugs,cyclomatic,sloc,lloc,comment_rate,mi_std,mi_custom
629B,pass@24,4.0,11.0,7.0,13.0,15.0,20.0,46.05,78.14,2.36,184.69,10.26,0.026,6.0,36.0,36.0,0.0,51.99,51.99
629B,pass@25,5.0,14.0,11.0,20.0,19.0,31.0,64.91,131.69,3.57,470.31,26.13,0.0439,9.0,25.0,26.0,16.0,74.5,74.64
629B,pass@26,4.0,12.0,7.0,13.0,16.0,20.0,51.02,80.0,2.17,173.33,9.63,0.0267,6.0,25.0,25.0,0.0,55.24,55.37
629B,pass@27,4.0,12.0,7.0,13.0,16.0,20.0,51.02,80.0,2.17,173.33,9.63,0.0267,6.0,25.0,25.0,0.0,55.24,55.37
629B,pass@28,5.0,16.0,11.0,20.0,21.0,31.0,75.61,136.16,3.12,425.51,23.64,0.0454,9.0,29.0,29.0,0.0,51.81,51.95
629B,pass@29,4.0,12.0,7.0,13.0,16.0,20.0,51.02,80.0,2.17,173.33,9.63,0.0267,6.0,24.0,24.0,0.0,55.63,55.76
629B,pass@30,4.0,12.0,7.0,13.0,16.0,20.0,51.02,80.0,2.17,173.33,9.63,0.0267,6.0,23.0,24.0,0.0,55.63,55.76
629B,pass@31,4.0,12.0,7.0,13.0,16.0,20.0,51.02,80.0,2.17,173.33,9.63,0.0267,6.0,25.0,25.0,0.0,55.24,55.37
629B,pass@32,4.0,12.0,7.0,13.0,16.0,20.0,51.02,80.0,2.17,173.33,9.63,0.0267,6.0,23.0,24.0,0.0,55.63,55.76
630J,pass@1,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.75,0.5,2.38,0.13,0.0016,1.0,7.0,7.0,57.14,100.0,100.0
630J,pass@2,3.0,8.0,4.0,8.0,11.0,12.0,28.75,41.51,1.5,62.27,3.46,0.0138,3.0,11.0,11.0,0.0,65.55,65.55
630J,pass@3,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.75,0.5,2.38,0.13,0.0016,0.0,4.0,4.0,0.0,81.99,82.13
630J,pass@4,3.0,8.0,4.0,8.0,11.0,12.0,28.75,41.51,1.5,62.27,3.46,0.0138,3.0,11.0,11.0,0.0,65.55,65.55
630J,pass@5,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.75,0.5,2.38,0.13,0.0016,1.0,7.0,7.0,42.86,100.0,100.0
630J,pass@6,2.0,5.0,3.0,6.0,7.0,9.0,13.61,25.27,1.2,30.32,1.68,0.0084,2.0,9.0,10.0,22.22,92.33,92.33
