problem,pass_num,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time_sec,bugs,cyclomatic,sloc,lloc,comment_rate,mi_std,mi_custom
626A,22,7.0,45.0,44.0,152.0,52.0,196.0,266.78,1117.29,11.82,13208.81,733.82,0.3724,7.0,27.0,23.0,0.0,46.49,46.49
626A,23,7.0,45.0,44.0,152.0,52.0,196.0,266.78,1117.29,11.82,13208.81,733.82,0.3724,7.0,27.0,23.0,0.0,46.49,46.49
626A,24,8.0,43.0,49.0,164.0,51.0,213.0,257.33,1208.23,15.26,18432.48,1024.03,0.4027,8.0,26.0,22.0,0.0,46.48,46.48
626A,25,7.0,46.0,46.0,153.0,53.0,199.0,273.74,1139.86,11.64,13269.41,737.19,0.38,7.0,27.0,23.0,0.0,46.43,46.43
626A,26,7.0,45.0,46.0,150.0,52.0,196.0,266.78,1117.29,11.67,13035.01,724.17,0.3724,7.0,27.0,23.0,0.0,46.49,46.49
626A,27,6.0,45.0,52.0,167.0,51.0,219.0,262.64,1242.26,11.13,13830.51,768.36,0.4141,9.0,30.0,26.0,0.0,44.9,44.9
626A,28,8.0,41.0,47.0,158.0,49.0,205.0,243.66,1151.02,15.41,17742.48,985.69,0.3837,8.0,24.0,20.0,0.0,47.38,47.38
626A,29,7.0,45.0,44.0,152.0,52.0,196.0,266.78,1117.29,11.82,13208.81,733.82,0.3724,7.0,27.0,23.0,0.0,46.49,46.49
626A,30,7.0,46.0,65.0,165.0,53.0,230.0,273.74,1317.42,12.55,16539.37,918.85,0.4391,7.0,27.0,24.0,0.0,45.99,45.99
626A,31,7.0,44.0,62.0,167.0,51.0,229.0,259.87,1298.99,13.28,17255.84,958.66,0.433,7.0,26.0,23.0,0.0,46.39,46.39
626A,32,6.0,45.0,49.0,170.0,51.0,219.0,262.64,1242.26,11.33,14078.96,782.16,0.4141,7.0,27.0,23.0,0.0,46.17,46.17
629B,1,7.0,58.0,72.0,303.0,65.0,375.0,359.41,2258.39,18.28,41293.46,2294.08,0.7528,12.0,49.0,41.0,0.0,38.03,38.03
629B,2,9.0,50.0,40.0,170.0,59.0,210.0,310.72,1235.36,15.3,18900.93,1050.05,0.4118,4.0,25.0,23.0,0.0,47.32,47.32
629B,3,8.0,62.0,68.0,320.0,70.0,388.0,393.16,2378.16,20.65,49097.53,2727.64,0.7927,12.0,56.0,48.0,0.0,36.61,36.61
629B,4,9.0,49.0,57.0,189.0,58.0,246.0,303.65,1441.06,17.36,25012.74,1389.6,0.4804,8.0,32.0,28.0,0.0,43.97,43.97
629B,5,7.0,55.0,50.0,203.0,62.0,253.0,337.63,1506.41,12.92,19460.1,1081.12,0.5021,8.0,38.0,29.0,0.0,42.21,42.21
629B,6,7.0,47.0,46.0,149.0,54.0,195.0,280.72,1122.2,11.1,12451.68,691.76,0.3741,7.0,32.0,24.0,0.0,44.87,44.87
629B,7,7.0,52.0,51.0,212.0,59.0,263.0,316.07,1547.14,14.27,22076.43,1226.47,0.5157,9.0,37.0,33.0,0.0,42.25,42.25
629B,8,9.0,53.0,55.0,194.0,62.0,249.0,332.11,1482.59,16.47,24420.86,1356.71,0.4942,8.0,34.0,30.0,0.0,43.31,43.31
629B,9,7.0,52.0,45.0,184.0,59.0,229.0,316.07,1347.13,12.38,16683.63,926.87,0.449,8.0,36.0,28.0,0.0,43.06,43.06
629B,10,8.0,48.0,41.0,172.0,56.0,213.0,292.08,1236.97,14.33,17729.85,984.99,0.4123,4.0,27.0,23.0,0.0,46.59,46.59
629B,11,7.0,50.0,56.0,179.0,57.0,235.0,301.84,1370.73,12.53,17175.24,954.18,0.4569,10.0,35.0,31.0,0.0,43.01,43.01
629B,12,8.0,49.0,53.0,170.0,57.0,223.0,299.12,1300.73,13.88,18051.01,1002.83,0.4336,10.0,26.0,24.0,0.0,45.98,45.98
629B,13,7.0,56.0,51.0,201.0,63.0,252.0,344.86,1506.27,12.56,18922.57,1051.25,0.5021,8.0,36.0,28.0,0.0,42.72,42.72
629B,14,8.0,51.0,55.0,196.0,59.0,251.0,313.29,1476.54,15.37,22698.24,1261.01,0.4922,10.0,28.0,26.0,0.0,44.9,44.9
629B,15,8.0,50.0,41.0,178.0,58.0,219.0,306.19,1282.9,14.24,18268.47,1014.91,0.4276,4.0,30.0,26.0,0.0,45.48,45.48
629B,16,9.0,60.0,80.0,346.0,69.0,426.0,382.94,2602.23,25.95,67527.91,3751.55,0.8674,13.0,49.0,41.0,0.0,37.47,37.47
629B,17,7.0,59.0,57.0,281.0,66.0,338.0,366.73,2043.01,16.67,34055.86,1891.99,0.681,11.0,40.0,32.0,0.0,40.39,40.39
629B,18,7.0,49.0,50.0,201.0,56.0,251.0,294.77,1457.65,14.36,20927.63,1162.65,0.4859,7.0,33.0,25.0,0.0,43.78,43.78
629B,19,7.0,56.0,51.0,201.0,63.0,252.0,344.86,1506.27,12.56,18922.57,1051.25,0.5021,8.0,36.0,28.0,0.0,42.72,42.72
629B,20,8.0,52.0,50.0,196.0,60.0,246.0,320.42,1453.1,15.08,21908.2,1217.12,0.4844,9.0,33.0,25.0,0.0,43.52,43.52
629B,21,9.0,57.0,60.0,246.0,66.0,306.0,361.0,1849.58,19.42,35920.88,1995.6,0.6165,7.0,37.0,28.0,0.0,41.97,41.97
629B,22,8.0,52.0,56.0,183.0,60.0,239.0,320.42,1411.75,14.08,19873.05,1104.06,0.4706,10.0,34.0,32.0,0.0,43.19,43.19
