problem,pass_num,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time_sec,bugs,cyclomatic,sloc,lloc,comment_rate,mi_std,mi_custom
629B,pass@12,5.0,11.0,16.0,28.0,16.0,44.0,49.66,176.0,6.36,1120.0,62.22,0.0587,9.0,26.0,26.0,0.0,51.93,52.2
629B,pass@13,6.0,13.0,11.0,20.0,19.0,31.0,63.62,131.69,4.62,607.78,33.77,0.0439,6.0,22.0,22.0,0.0,54.93,55.07
629B,pass@14,4.0,13.0,12.0,21.0,17.0,33.0,56.11,134.89,3.23,435.79,24.21,0.045,4.0,23.0,24.0,0.0,54.31,54.44
629B,pass@15,6.0,15.0,12.0,22.0,21.0,34.0,74.11,149.34,4.4,657.09,36.51,0.0498,4.0,25.0,25.0,0.0,53.61,53.74
629B,pass@16,6.0,12.0,14.0,25.0,18.0,39.0,58.53,162.63,6.25,1016.42,56.47,0.0542,7.0,30.0,30.0,0.0,51.08,51.35
629B,pass@17,6.0,10.0,9.0,16.0,16.0,25.0,48.73,100.0,4.8,480.0,26.67,0.0333,6.0,19.0,19.0,0.0,57.16,57.29
629B,pass@18,4.0,12.0,9.0,16.0,16.0,25.0,51.02,100.0,2.67,266.67,14.81,0.0333,0.0,14.0,14.0,0.0,59.78,60.99
629B,pass@19,5.0,11.0,15.0,26.0,16.0,41.0,49.66,164.0,5.91,969.09,53.84,0.0547,8.0,23.0,24.0,0.0,53.17,53.31
629B,pass@20,5.0,11.0,16.0,28.0,16.0,44.0,49.66,176.0,6.36,1120.0,62.22,0.0587,8.0,28.0,28.0,0.0,51.36,51.63
629B,pass@21,4.0,11.0,7.0,13.0,15.0,20.0,46.05,78.14,2.36,184.69,10.26,0.026,4.0,21.0,22.0,0.0,56.79,56.92
629B,pass@22,5.0,14.0,18.0,32.0,19.0,50.0,64.91,212.4,5.71,1213.69,67.43,0.0708,8.0,28.0,28.0,0.0,50.93,51.06
629B,pass@23,5.0,15.0,18.0,32.0,20.0,50.0,70.21,216.1,5.33,1152.51,64.03,0.072,8.0,35.0,35.0,0.0,48.76,48.89
629B,pass@24,5.0,8.0,8.0,14.0,13.0,22.0,35.61,81.41,4.38,356.17,19.79,0.0271,6.0,25.0,25.0,0.0,55.05,55.32
629B,pass@25,5.0,11.0,16.0,28.0,16.0,44.0,49.66,176.0,6.36,1120.0,62.22,0.0587,8.0,27.0,27.0,0.0,51.71,51.98
629B,pass@26,5.0,10.0,12.0,21.0,15.0,33.0,44.83,128.93,5.25,676.87,37.6,0.043,6.0,29.0,29.0,0.0,52.38,52.52
629B,pass@27,4.0,13.0,12.0,24.0,17.0,36.0,56.11,147.15,3.69,543.32,30.18,0.049,8.0,30.0,30.0,0.0,51.25,51.52
629B,pass@28,6.0,17.0,18.0,33.0,23.0,51.0,85.0,230.7,5.82,1343.5,74.64,0.0769,8.0,29.0,29.0,0.0,50.34,50.48
629B,pass@29,4.0,16.0,14.0,25.0,20.0,39.0,72.0,168.56,3.12,526.73,29.26,0.0562,5.0,17.0,17.0,0.0,56.76,56.89
629B,pass@30,7.0,16.0,17.0,32.0,23.0,49.0,83.65,221.65,7.0,1551.58,86.2,0.0739,6.0,28.0,28.0,0.0,51.07,51.2
629B,pass@31,5.0,11.0,16.0,28.0,16.0,44.0,49.66,176.0,6.36,1120.0,62.22,0.0587,8.0,33.0,33.0,0.0,49.94,50.08
629B,pass@32,4.0,7.0,7.0,12.0,11.0,19.0,27.65,65.73,3.43,225.36,12.52,0.0219,6.0,18.0,18.0,0.0,58.81,59.08
630J,pass@1,2.0,6.0,3.0,6.0,8.0,9.0,17.51,27.0,1.0,27.0,1.5,0.009,1.0,6.0,6.0,0.0,72.87,72.87
630J,pass@2,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.75,0.5,2.38,0.13,0.0016,1.0,6.0,6.0,0.0,78.15,78.15
630J,pass@3,2.0,6.0,3.0,6.0,8.0,9.0,17.51,27.0,1.0,27.0,1.5,0.009,1.0,8.0,8.0,0.0,70.01,70.14
630J,pass@4,3.0,8.0,4.0,8.0,11.0,12.0,28.75,41.51,1.5,62.27,3.46,0.0138,3.0,12.0,12.0,0.0,64.72,64.72
630J,pass@5,3.0,9.0,5.0,10.0,12.0,15.0,33.28,53.77,1.67,89.62,4.98,0.0179,3.0,11.0,11.0,0.0,64.9,64.76
630J,pass@7,2.0,4.0,2.0,4.0,6.0,6.0,10.0,15.51,1.0,15.51,0.86,0.0052,1.0,7.0,7.0,0.0,72.96,73.09
630J,pass@8,2.0,6.0,3.0,6.0,8.0,9.0,17.51,27.0,1.0,27.0,1.5,0.009,2.0,8.0,8.0,12.5,89.7,89.56
630J,pass@9,2.0,6.0,3.0,6.0,8.0,9.0,17.51,27.0,1.0,27.0,1.5,0.009,1.0,8.0,8.0,0.0,70.01,70.14
630J,pass@10,2.0,4.0,2.0,4.0,6.0,6.0,10.0,15.51,1.0,15.51,0.86,0.0052,1.0,7.0,7.0,0.0,72.96,73.09
630J,pass@11,2.0,6.0,3.0,6.0,8.0,9.0,17.51,27.0,1.0,27.0,1.5,0.009,4.0,14.0,14.0,0.0,64.71,64.44
630J,pass@12,2.0,6.0,3.0,6.0,8.0,9.0,17.51,27.0,1.0,27.0,1.5,0.009,1.0,8.0,8.0,0.0,70.01,70.14
630J,pass@13,2.0,6.0,3.0,6.0,8.0,9.0,17.51,27.0,1.0,27.0,1.5,0.009,1.0,8.0,8.0,0.0,70.01,70.14
630J,pass@14,3.0,8.0,4.0,8.0,11.0,12.0,28.75,41.51,1.5,62.27,3.46,0.0138,4.0,13.0,13.0,0.0,64.1,63.83
630J,pass@15,2.0,6.0,3.0,6.0,8.0,9.0,17.51,27.0,1.0,27.0,1.5,0.009,1.0,8.0,8.0,0.0,70.01,70.14
630J,pass@16,2.0,4.0,2.0,4.0,6.0,6.0,10.0,15.51,1.0,15.51,0.86,0.0052,1.0,6.0,6.0,0.0,74.42,74.55
630J,pass@17,2.0,6.0,3.0,6.0,8.0,9.0,17.51,27.0,1.0,27.0,1.5,0.009,1.0,10.0,10.0,0.0,67.89,68.03
630J,pass@18,2.0,6.0,3.0,6.0,8.0,9.0,17.51,27.0,1.0,27.0,1.5,0.009,1.0,8.0,8.0,0.0,70.01,70.14
630J,pass@19,2.0,6.0,3.0,6.0,8.0,9.0,17.51,27.0,1.0,27.0,1.5,0.009,1.0,8.0,8.0,0.0,70.01,70.14
630J,pass@20,5.0,12.0,6.0,12.0,17.0,18.0,54.63,73.57,2.5,183.94,10.22,0.0245,6.0,18.0,18.0,5.56,72.73,72.46
630J,pass@21,2.0,6.0,3.0,6.0,8.0,9.0,17.51,27.0,1.0,27.0,1.5,0.009,1.0,8.0,8.0,0.0,70.01,70.14
