problem,pass_num,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time_sec,bugs,cyclomatic,sloc,lloc,comment_rate,mi_std,mi_custom
614B,pass@18,6.0,11.0,6.0,11.0,17.0,17.0,53.56,69.49,3.0,208.46,11.58,0.0232,3.0,16.0,16.0,0.0,59.89,60.43
614B,pass@19,7.0,18.0,10.0,21.0,25.0,31.0,94.71,143.96,4.08,587.83,32.66,0.048,9.0,23.0,23.0,4.35,66.22,66.22
614B,pass@22,5.0,11.0,7.0,14.0,16.0,21.0,49.66,84.0,3.18,267.27,14.85,0.028,7.0,24.0,25.0,0.0,55.09,55.09
614B,pass@23,8.0,13.0,14.0,28.0,21.0,42.0,72.11,184.48,8.62,1589.34,88.3,0.0615,8.0,26.0,26.0,0.0,52.19,52.19
614B,pass@24,9.0,16.0,14.0,29.0,25.0,43.0,92.53,199.69,8.16,1628.69,90.48,0.0666,0.0,17.0,17.0,0.0,56.11,57.05
614B,pass@25,6.0,12.0,7.0,13.0,18.0,20.0,58.53,83.4,3.25,271.05,15.06,0.0278,10.0,23.0,23.0,0.0,55.63,55.5
614B,pass@26,6.0,17.0,9.0,18.0,23.0,27.0,85.0,122.14,3.18,387.96,21.55,0.0407,4.0,19.0,19.0,0.0,56.28,56.96
614B,pass@27,7.0,22.0,19.0,37.0,29.0,56.0,117.76,272.05,5.89,1601.37,88.96,0.0907,13.0,29.0,30.0,0.0,48.98,48.98
614B,pass@28,5.0,9.0,6.0,12.0,14.0,18.0,40.14,68.53,3.33,228.44,12.69,0.0228,4.0,17.0,17.0,0.0,59.77,59.77
614B,pass@29,5.0,11.0,7.0,14.0,16.0,21.0,49.66,84.0,3.18,267.27,14.85,0.028,5.0,19.0,20.0,5.26,70.86,70.86
614B,pass@30,9.0,27.0,20.0,40.0,36.0,60.0,156.91,310.2,6.67,2067.97,114.89,0.1034,12.0,29.0,30.0,0.0,48.58,48.72
614B,pass@31,5.0,6.0,7.0,14.0,11.0,21.0,27.12,72.65,5.83,423.78,23.54,0.0242,0.0,20.0,21.0,5.0,70.25,71.19
614B,pass@32,6.0,17.0,12.0,22.0,23.0,34.0,85.0,153.8,3.88,597.11,33.17,0.0513,6.0,18.0,19.0,0.0,55.99,55.99
615A,pass@1,2.0,4.0,2.0,4.0,6.0,6.0,10.0,15.51,1.0,15.51,0.86,0.0052,0.0,11.0,12.0,0.0,67.72,68.12
615A,pass@2,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.75,0.5,2.38,0.13,0.0016,0.0,10.0,10.0,0.0,72.91,73.44
615A,pass@3,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.75,0.5,2.38,0.13,0.0016,0.0,6.0,7.0,0.0,76.42,76.82
615A,pass@4,2.0,4.0,2.0,4.0,6.0,6.0,10.0,15.51,1.0,15.51,0.86,0.0052,3.0,11.0,13.0,0.0,66.83,66.96
615A,pass@5,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.75,0.5,2.38,0.13,0.0016,0.0,9.0,10.0,0.0,73.04,73.44
615A,pass@6,3.0,6.0,4.0,8.0,9.0,12.0,20.26,38.04,2.0,76.08,4.23,0.0127,4.0,16.0,17.0,0.0,61.56,61.56
615A,pass@7,2.0,4.0,2.0,4.0,6.0,6.0,10.0,15.51,1.0,15.51,0.86,0.0052,3.0,16.0,17.0,0.0,64.28,64.42
615A,pass@8,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.75,0.5,2.38,0.13,0.0016,0.0,9.0,10.0,0.0,73.04,73.44
615A,pass@9,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.75,0.5,2.38,0.13,0.0016,0.0,6.0,7.0,0.0,76.42,76.82
