problem,pass_num,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time_sec,bugs,cyclomatic,sloc,lloc,comment_rate,mi_std,mi_custom
614A,pass@11,5.0,5.0,5.0,10.0,10.0,15.0,23.22,49.83,5.0,249.14,13.84,0.0166,5.0,15.0,15.0,6.67,76.69,76.69
614A,pass@12,8.0,11.0,10.0,17.0,19.0,27.0,62.05,114.69,6.18,709.02,39.39,0.0382,7.0,19.0,19.0,15.79,78.19,78.19
614A,pass@13,6.0,6.0,6.0,11.0,12.0,17.0,31.02,60.94,5.5,335.19,18.62,0.0203,5.0,14.0,14.0,57.14,91.07,91.07
614A,pass@14,3.0,4.0,3.0,6.0,7.0,9.0,12.75,25.27,2.25,56.85,3.16,0.0084,3.0,14.0,14.0,0.0,64.64,64.77
614A,pass@15,5.0,5.0,5.0,10.0,10.0,15.0,23.22,49.83,5.0,249.14,13.84,0.0166,0.0,13.0,13.0,15.38,84.38,85.05
614A,pass@16,5.0,7.0,5.0,10.0,12.0,15.0,31.26,53.77,3.57,192.05,10.67,0.0179,5.0,15.0,15.0,6.67,76.46,76.46
614A,pass@17,5.0,6.0,7.0,12.0,11.0,19.0,27.12,65.73,5.0,328.65,18.26,0.0219,5.0,14.0,14.0,7.14,76.98,76.98
614A,pass@18,5.0,5.0,5.0,10.0,10.0,15.0,23.22,49.83,5.0,249.14,13.84,0.0166,5.0,15.0,15.0,6.67,76.69,76.69
614A,pass@19,7.0,9.0,9.0,15.0,16.0,24.0,48.18,96.0,5.83,560.0,31.11,0.032,5.0,16.0,16.0,6.25,73.52,73.66
614A,pass@20,5.0,5.0,5.0,10.0,10.0,15.0,23.22,49.83,5.0,249.14,13.84,0.0166,4.0,16.0,16.0,6.25,75.65,75.79
614A,pass@21,5.0,5.0,5.0,10.0,10.0,15.0,23.22,49.83,5.0,249.14,13.84,0.0166,4.0,16.0,16.0,6.25,75.65,75.79
614A,pass@22,5.0,6.0,8.0,14.0,11.0,22.0,27.12,76.11,5.83,443.96,24.66,0.0254,6.0,18.0,18.0,16.67,80.53,80.53
614A,pass@23,6.0,6.0,6.0,11.0,12.0,17.0,31.02,60.94,5.5,335.19,18.62,0.0203,5.0,13.0,13.0,7.69,78.42,78.42
614A,pass@24,5.0,5.0,5.0,10.0,10.0,15.0,23.22,49.83,5.0,249.14,13.84,0.0166,5.0,15.0,15.0,6.67,76.69,76.69
614A,pass@25,7.0,7.0,7.0,13.0,14.0,20.0,39.3,76.15,6.5,494.96,27.5,0.0254,5.0,16.0,16.0,6.25,74.36,74.36
614A,pass@26,3.0,4.0,3.0,6.0,7.0,9.0,12.75,25.27,2.25,56.85,3.16,0.0084,4.0,13.0,13.0,0.0,65.34,65.34
614A,pass@27,6.0,6.0,6.0,11.0,12.0,17.0,31.02,60.94,5.5,335.19,18.62,0.0203,5.0,15.0,15.0,6.67,76.08,76.08
614A,pass@28,7.0,11.0,11.0,20.0,18.0,31.0,57.71,129.27,6.36,822.61,45.7,0.0431,7.0,16.0,16.0,18.75,80.86,80.86
614A,pass@29,7.0,9.0,10.0,17.0,16.0,27.0,48.18,108.0,6.61,714.0,39.67,0.036,6.0,20.0,20.0,25.0,81.6,81.73
614A,pass@30,5.0,5.0,5.0,10.0,10.0,15.0,23.22,49.83,5.0,249.14,13.84,0.0166,5.0,15.0,15.0,6.67,76.69,76.69
614A,pass@31,6.0,6.0,6.0,11.0,12.0,17.0,31.02,60.94,5.5,335.19,18.62,0.0203,5.0,13.0,13.0,7.69,78.42,78.42
614A,pass@32,5.0,6.0,7.0,13.0,11.0,20.0,27.12,69.19,5.42,374.77,20.82,0.0231,6.0,17.0,17.0,17.65,81.83,81.83
614B,pass@1,5.0,9.0,6.0,12.0,14.0,18.0,40.14,68.53,3.33,228.44,12.69,0.0228,6.0,17.0,17.0,0.0,59.5,59.5
614B,pass@2,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.75,0.5,2.38,0.13,0.0016,2.0,8.0,8.0,0.0,75.29,75.29
614B,pass@3,4.0,8.0,4.0,8.0,12.0,12.0,32.0,43.02,2.0,86.04,4.78,0.0143,4.0,11.0,11.0,0.0,65.31,65.31
614B,pass@4,5.0,12.0,6.0,12.0,17.0,18.0,54.63,73.57,2.5,183.94,10.22,0.0245,3.0,12.0,13.0,0.0,61.82,62.23
614B,pass@5,5.0,10.0,5.0,10.0,15.0,15.0,44.83,58.6,2.5,146.51,8.14,0.0195,5.0,13.0,13.0,7.69,78.54,78.54
614B,pass@6,4.0,9.0,5.0,10.0,13.0,15.0,36.53,55.51,2.22,123.35,6.85,0.0185,6.0,14.0,14.0,0.0,62.11,61.98
614B,pass@7,5.0,10.0,5.0,10.0,15.0,15.0,44.83,58.6,2.5,146.51,8.14,0.0195,5.0,12.0,12.0,8.33,79.87,79.87
614B,pass@8,3.0,6.0,3.0,6.0,9.0,9.0,20.26,28.53,1.5,42.79,2.38,0.0095,0.0,9.0,10.0,0.0,67.46,68.0
614B,pass@9,6.0,12.0,6.0,12.0,18.0,18.0,58.53,75.06,3.0,225.18,12.51,0.025,3.0,14.0,14.0,35.71,89.1,89.1
614B,pass@10,5.0,12.0,6.0,12.0,17.0,18.0,54.63,73.57,2.5,183.94,10.22,0.0245,6.0,14.0,14.0,0.0,61.12,61.12
614B,pass@11,6.0,11.0,6.0,11.0,17.0,17.0,53.56,69.49,3.0,208.46,11.58,0.0232,6.0,15.0,15.0,6.67,75.55,75.55
614B,pass@12,5.0,9.0,5.0,9.0,14.0,14.0,40.14,53.3,2.5,133.26,7.4,0.0178,3.0,11.0,11.0,18.18,87.12,87.39
614B,pass@13,4.0,8.0,4.0,8.0,12.0,12.0,32.0,43.02,2.0,86.04,4.78,0.0143,3.0,8.0,8.0,0.0,68.32,68.46
614B,pass@14,5.0,12.0,6.0,12.0,17.0,18.0,54.63,73.57,2.5,183.94,10.22,0.0245,6.0,14.0,14.0,7.14,76.5,76.5
614B,pass@15,5.0,10.0,5.0,10.0,15.0,15.0,44.83,58.6,2.5,146.51,8.14,0.0195,5.0,12.0,12.0,0.0,63.41,63.41
614B,pass@16,5.0,10.0,5.0,10.0,15.0,15.0,44.83,58.6,2.5,146.51,8.14,0.0195,5.0,12.0,12.0,0.0,63.41,63.41
614B,pass@17,4.0,8.0,4.0,8.0,12.0,12.0,32.0,43.02,2.0,86.04,4.78,0.0143,3.0,8.0,8.0,25.0,93.48,93.62
614B,pass@18,5.0,9.0,5.0,9.0,14.0,14.0,40.14,53.3,2.5,133.26,7.4,0.0178,3.0,12.0,12.0,8.33,80.16,80.43
614B,pass@19,4.0,8.0,4.0,8.0,12.0,12.0,32.0,43.02,2.0,86.04,4.78,0.0143,4.0,11.0,11.0,0.0,65.31,65.31
614B,pass@20,5.0,9.0,5.0,9.0,14.0,14.0,40.14,53.3,2.5,133.26,7.4,0.0178,3.0,13.0,13.0,7.69,78.83,79.1
614B,pass@21,2.0,4.0,2.0,4.0,6.0,6.0,10.0,15.51,1.0,15.51,0.86,0.0052,2.0,9.0,9.0,0.0,70.44,70.58
614B,pass@22,5.0,10.0,5.0,10.0,15.0,15.0,44.83,58.6,2.5,146.51,8.14,0.0195,5.0,11.0,11.0,0.0,64.23,64.23
614B,pass@23,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.75,0.5,2.38,0.13,0.0016,2.0,8.0,8.0,0.0,75.29,75.29
