problem,pass_num,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time_sec,bugs,cyclomatic,sloc,lloc,comment_rate,mi_std,mi_custom
810D,27,8.0,117.0,186.0,596.0,125.0,782.0,827.83,5447.24,20.38,110993.4,6166.3,1.8157,24.0,95.0,75.0,0.17,49.16,27.47
810D,28,8.0,98.0,103.0,458.0,106.0,561.0,672.24,3774.36,18.69,70557.49,3919.86,1.2581,20.0,77.0,62.0,0.13,50.58,31.11
810D,29,11.0,98.0,111.0,383.0,109.0,494.0,686.3,3343.48,21.49,71867.83,3992.66,1.1145,15.0,70.0,58.0,0.09,50.2,33.06
810D,30,9.0,108.0,118.0,511.0,117.0,629.0,758.06,4321.46,21.29,92011.07,5111.73,1.4405,22.0,79.0,63.0,0.14,50.28,30.19
810D,31,9.0,99.0,117.0,475.0,108.0,592.0,684.84,3998.89,21.59,86339.74,4796.65,1.333,21.0,84.0,67.0,0.14,50.3,29.98
810D,32,7.0,101.0,119.0,430.0,108.0,549.0,692.13,3708.43,14.9,55259.33,3069.96,1.2361,17.0,67.0,54.0,0.13,52.5,32.89
814A,1,9.0,101.0,154.0,545.0,110.0,699.0,701.01,4740.17,24.28,115101.66,6394.54,1.5801,25.0,78.0,63.0,0.15,50.38,29.63
814A,2,9.0,90.0,120.0,425.0,99.0,545.0,612.8,3613.0,21.25,76776.24,4265.35,1.2043,20.0,62.0,51.0,0.15,54.12,33.3
814A,3,7.0,65.0,69.0,271.0,72.0,340.0,411.11,2097.77,14.59,30611.37,1700.63,0.6993,10.0,45.0,38.0,0.07,54.71,39.33
814A,4,7.0,63.0,69.0,267.0,70.0,336.0,396.22,2059.44,14.83,30548.35,1697.13,0.6865,10.0,45.0,38.0,0.07,54.76,39.39
814A,5,9.0,86.0,170.0,488.0,95.0,658.0,581.19,4322.96,25.53,110386.41,6132.58,1.441,22.0,91.0,79.0,0.1,46.65,28.85
814A,6,8.0,60.0,83.0,248.0,68.0,331.0,378.41,2014.95,16.53,33313.84,1850.77,0.6717,9.0,41.0,35.0,0.08,56.37,40.47
814A,7,10.0,95.0,147.0,493.0,105.0,640.0,657.36,4297.12,25.95,111498.88,6194.38,1.4324,26.0,82.0,72.0,0.09,46.05,29.32
814A,8,7.0,57.0,108.0,324.0,64.0,432.0,352.13,2592.0,19.89,51567.16,2864.84,0.864,13.0,52.0,47.0,0.04,48.66,36.92
814A,9,8.0,54.0,86.0,246.0,62.0,332.0,334.76,1976.79,18.22,36021.56,2001.2,0.6589,9.0,40.0,36.0,0.03,50.42,40.76
814A,10,8.0,62.0,86.0,243.0,70.0,329.0,393.16,2016.53,15.68,31614.05,1756.34,0.6722,9.0,41.0,35.0,0.08,56.37,40.47
814A,11,7.0,96.0,158.0,515.0,103.0,673.0,651.81,4500.01,18.78,84492.47,4694.03,1.5,15.0,68.0,57.0,0.12,51.66,32.43
814A,12,9.0,64.0,74.0,324.0,73.0,398.0,412.53,2463.55,22.78,56122.75,3117.93,0.8212,12.0,50.0,41.0,0.11,55.84,37.58
814A,13,9.0,103.0,210.0,709.0,112.0,919.0,717.24,6255.96,30.98,193782.89,10765.72,2.0853,35.0,114.0,96.0,0.13,43.34,23.84
814A,14,9.0,79.0,133.0,385.0,88.0,518.0,526.53,3345.99,21.93,73378.73,4076.6,1.1153,14.0,52.0,44.0,0.1,53.79,36.01
814A,15,7.0,65.0,62.0,252.0,72.0,314.0,411.11,1937.36,13.57,26288.44,1460.47,0.6458,9.0,43.0,36.0,0.08,55.86,40.14
814A,16,8.0,77.0,129.0,364.0,85.0,493.0,506.54,3159.83,18.91,59749.51,3319.42,1.0533,14.0,59.0,52.0,0.07,50.19,34.98
814A,17,9.0,79.0,62.0,253.0,88.0,315.0,526.53,2034.72,14.41,29323.16,1629.06,0.6782,9.0,39.0,32.0,0.09,57.41,40.92
814A,18,9.0,73.0,84.0,314.0,82.0,398.0,480.39,2530.31,19.36,48977.01,2720.95,0.8434,13.0,49.0,42.0,0.07,52.29,37.55
814A,19,8.0,51.0,84.0,241.0,59.0,325.0,313.29,1911.86,18.9,36137.88,2007.66,0.6373,9.0,40.0,36.0,0.03,50.52,40.87
814A,20,7.0,74.0,121.0,333.0,81.0,454.0,479.15,2878.29,15.75,45333.1,2518.51,0.9594,10.0,49.0,39.0,0.15,58.51,37.56
814A,21,8.0,71.0,99.0,265.0,79.0,364.0,460.63,2294.58,14.93,34257.05,1903.17,0.7649,10.0,40.0,33.0,0.11,58.4,40.18
814A,22,8.0,74.0,78.0,319.0,82.0,397.0,483.5,2523.95,17.24,43521.05,2417.84,0.8413,12.0,52.0,43.0,0.1,55.07,37.13
