problem,pass_num,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time_sec,bugs,cyclomatic,sloc,lloc,comment_rate,mi_std,mi_custom
716A,13,5.0,31.0,32.0,101.0,36.0,133.0,165.19,687.6,8.15,5600.61,311.15,0.2292,4.0,22.0,19.0,0.0,50.31,50.31
716A,14,6.0,34.0,33.0,101.0,40.0,134.0,188.48,713.14,8.91,6355.32,353.07,0.2377,4.0,21.0,19.0,0.0,50.64,50.64
716A,15,6.0,34.0,32.0,101.0,40.0,133.0,188.48,707.82,8.91,6307.89,350.44,0.2359,4.0,21.0,19.0,0.0,50.66,50.66
716A,17,6.0,34.0,33.0,101.0,40.0,134.0,188.48,713.14,8.91,6355.32,353.07,0.2377,4.0,21.0,19.0,0.0,50.64,50.64
716A,18,5.0,33.0,40.0,136.0,38.0,176.0,178.07,923.64,10.3,9516.24,528.68,0.3079,5.0,30.0,27.0,0.0,46.34,46.34
716A,19,6.0,34.0,33.0,101.0,40.0,134.0,188.48,713.14,8.91,6355.32,353.07,0.2377,4.0,21.0,19.0,0.0,50.64,50.64
716A,20,6.0,36.0,34.0,101.0,42.0,135.0,201.63,727.96,8.42,6127.02,340.39,0.2427,4.0,21.0,19.0,0.0,50.58,50.58
716A,21,5.0,31.0,32.0,101.0,36.0,133.0,165.19,687.6,8.15,5600.61,311.15,0.2292,4.0,22.0,19.0,0.0,50.31,50.31
716A,22,5.0,31.0,31.0,102.0,36.0,133.0,165.19,687.6,8.23,5656.06,314.23,0.2292,4.0,22.0,19.0,0.0,50.31,50.31
716A,23,5.0,31.0,31.0,101.0,36.0,132.0,165.19,682.43,8.15,5558.5,308.81,0.2275,4.0,22.0,19.0,0.0,50.33,50.33
716A,24,5.0,32.0,32.0,106.0,37.0,138.0,171.61,718.9,8.28,5953.43,330.75,0.2396,4.0,23.0,20.0,0.0,49.75,49.75
716A,25,5.0,30.0,32.0,99.0,35.0,131.0,158.82,671.94,8.25,5543.47,307.97,0.224,4.0,22.0,19.0,0.0,50.38,50.38
716A,26,7.0,39.0,35.0,114.0,46.0,149.0,225.78,823.01,10.23,8420.03,467.78,0.2743,4.0,23.0,21.0,0.0,49.34,49.34
716A,27,5.0,33.0,35.0,118.0,38.0,153.0,178.07,802.93,8.94,7177.73,398.76,0.2676,5.0,26.0,23.0,0.0,48.12,48.12
716A,28,6.0,34.0,32.0,101.0,40.0,133.0,188.48,707.82,8.91,6307.89,350.44,0.2359,4.0,21.0,19.0,0.0,50.66,50.66
716A,29,6.0,34.0,32.0,101.0,40.0,133.0,188.48,707.82,8.91,6307.89,350.44,0.2359,4.0,21.0,19.0,0.0,50.66,50.66
