name,ac_total,ac_count,ans_total,ans_count,ref_total,ref_count,total_total,total_count,ans_total_ratio,ref_total_ratio,ans_count_ratio,ref_count_ratio
mm,46,6,11,3,42,4,99,13,0.2391304347826087,0.9130434782608695,0.5,0.6666666666666666
dfs1,59,18,0,0,40,13,99,31,0.0,0.6779661016949152,0.0,0.7222222222222222
cand,96,5,0,0,3,1,99,6,0.0,0.03125,0.0,0.2
atk,6,2,90,1,3,1,99,4,15.0,0.5,0.5,0.5
current_pos,0,0,55,9,43,9,98,18,,,,
vr,98,2,0,0,0,0,98,2,0.0,0.0,0.0,0.0
distance,8,2,47,12,43,13,98,27,5.875,5.375,6.0,6.5
prime,55,11,0,0,43,2,98,13,0.0,0.7818181818181819,0.0,0.18181818181818182
changes,0,0,42,7,56,6,98,13,,,,
new_mask,0,0,40,7,57,6,97,13,,,,
max_sum,0,0,57,16,39,8,96,24,,,,
lli,53,5,0,0,43,2,96,7,0.0,0.8113207547169812,0.0,0.4
has_actor,0,0,96,2,0,0,96,2,,,,
sub,26,5,63,3,7,2,96,10,2.423076923076923,0.2692307692307692,0.6,0.4
prefix,0,0,9,2,86,10,95,12,,,,
ca,4,1,32,1,59,5,95,7,8.0,14.75,1.0,5.0
cid,22,1,8,1,64,1,94,3,0.36363636363636365,2.909090909090909,1.0,1.0
qL,48,4,0,0,45,3,93,7,0.0,0.9375,0.0,0.75
siz,53,4,0,0,40,2,93,6,0.0,0.7547169811320755,0.0,0.5
rayon,64,1,0,0,28,1,92,2,0.0,0.4375,0.0,1.0
next_charge_start,0,0,0,0,92,1,92,1,,,,
qR,47,4,0,0,45,3,92,7,0.0,0.9574468085106383,0.0,0.75
pairs,5,1,5,2,81,5,91,8,1.0,16.2,2.0,5.0
month,11,2,26,2,54,4,91,8,2.3636363636363638,4.909090909090909,1.0,2.0
same,40,5,17,4,33,6,90,15,0.425,0.825,0.8,1.2
work,49,17,0,0,40,13,89,30,0.0,0.8163265306122449,0.0,0.7647058823529411
V,38,5,18,2,33,6,89,13,0.47368421052631576,0.868421052631579,0.4,1.2
ey,45,3,0,0,43,2,88,5,0.0,0.9555555555555556,0.0,0.6666666666666666
c3,14,1,6,2,68,4,88,7,0.42857142857142855,4.857142857142857,2.0,4.0
_r,31,10,10,3,47,8,88,21,0.3225806451612903,1.5161290322580645,0.3,0.8
h2,20,4,6,3,61,5,87,12,0.3,3.05,0.75,1.25
mi,55,7,22,4,9,2,86,13,0.4,0.16363636363636364,0.5714285714285714,0.2857142857142857
testNumber,73,24,0,0,13,13,86,37,0.0,0.1780821917808219,0.0,0.5416666666666666
max_n,19,5,37,7,30,7,86,19,1.9473684210526316,1.5789473684210527,1.4,1.4
